Category,Factors,Score G1,Score G2,Score G3,Err Low G1,Err Low G2,Err Low G3,Err High G1,Err High G2,Err High G3
Often Care Adult,0,0.0023720248009230327,0.0015688484414553283,-0.004443132637515239,-0.0001302664150003791,-0.0013279358477494311,-0.00646876013845135,0.0048743160168464444,0.004465632730660088,-0.002417505136579129
Often Care Adult,1,-0.01886034115489702,-0.012474159972805479,0.03532804433890652,-0.03918192297465396,-0.03507353926673442,0.02094077698982242,0.0014612406648599197,0.01012521932112346,0.049715311687990614
Often Do Activities With Grandchildren,0,0.0008999064206692761,0.0034976504614236455,-0.005171981041795337,-0.000557764066508809,0.0006838866268766464,-0.009188005410387803,0.002357576907847361,0.006311414295970645,-0.0011559566732028707
Often Do Activities With Grandchildren,1,-0.002866288479295172,-0.011140353032178675,0.01647325692398755,-0.007626136469256474,-0.02015197713468308,0.004276571653569617,0.0018935595106661304,-0.0021287289296742697,0.02866994219440548
Often Volunteer Youth,0,0.0037135819883040867,-0.0005074648720292093,-0.00325239176850641,0.0029494412633695403,-0.0018259185361920362,-0.004894454904992953,0.004477722713238633,0.0008109887921336177,-0.001610328632019866
Often Volunteer Youth,1,-0.07418215586274911,0.010137069371378662,0.06496946448414012,-0.09026706848261445,-0.015622501966384334,0.03633256525899299,-0.05809724324288376,0.035896640709141656,0.09360636370928725
Often Charity Work,0,0.006054011110426388,-0.004410563914829738,-0.0014082667141103993,0.004499373685486883,-0.005923718784741433,-0.0038053068505251495,0.007608648535365894,-0.0028974090449180433,0.0009887734223043509
Often Charity Work,1,-0.05558361077993818,0.04049465114785199,0.012929700240662732,-0.07142961545255846,0.027245692593271094,-0.00692730397398391,-0.0397376061073179,0.05374360970243288,0.03278670445530937
Often Education,0,0.003486062418302992,-0.0020841079419609567,-0.0009904939205701412,0.0015273536766464632,-0.0037252838218836863,-0.0028549076814464412,0.005444771159959521,-0.00044293206203822703,0.0008739198403061586
Often Education,1,-0.1178986309870072,0.07048453059711952,0.0334985043936822,-0.19373463158607507,0.015248582257137919,-0.0264735632826597,-0.04206263038793935,0.12572047893710114,0.0934705720700241
Often Attend Sports/Social/Club,0,0.01231138178473322,-0.00871604760466721,-0.002793793070918838,0.010952598118781678,-0.010784962033860796,-0.005613117404125205,0.013670165450684764,-0.006647133175473623,2.5531262287529013e-05
Often Attend Sports/Social/Club,1,-0.07376940410771873,0.05222627721350794,0.016740318320525735,-0.08252055326479442,0.03985598686303496,0.0016709707049839696,-0.06501825495064305,0.06459656756398093,0.0318096659360675
Often Attend Non Religious Orgs,0,-0.004044061936137624,0.006968441973346087,-0.003503043538393978,-0.006742997714167058,0.004694010739846497,-0.004742694971653235,-0.0013451261581081905,0.009242873206845676,-0.0022633921051347207
Often Attend Non Religious Orgs,1,0.08921039939916837,-0.15372106101467425,0.0772757485191413,0.031207543299657393,-0.20290433474551234,0.05384433859433975,0.14721325549867936,-0.10453778728383617,0.10070715844394286
Often Pray Privately,0,0.034410581562218136,-0.008304319631536343,-0.02993526119627867,0.02317517412627788,-0.016084178607541348,-0.03854799143131507,0.04564598899815839,-0.0005244606555313402,-0.02132253096124227
Often Pray Privately,1,-0.02322176331495529,0.005604117577222458,0.02020162167310196,-0.031227246162073768,0.0002263212816160081,0.014679909070898028,-0.015216280467836813,0.010981913872828908,0.02572333427530589
Often Read,0,0.08325871759240328,0.026819736780113502,-0.14790119967970883,0.06978293193431746,0.00497783993264261,-0.17026791368783983,0.09673450325048909,0.0486616336275844,-0.12553448567157782
Often Read,1,-0.017965742832438975,-0.005787219738166949,0.031914434847088,-0.021202085439278148,-0.0104378811243021,0.028097162746627782,-0.014729400225599803,-0.0011365583520317997,0.03573170694754822
Often Watch Television,0,0.0369695827454633,0.06754921411824139,-0.13676929845830318,-0.012634246835376658,0.019188845627115043,-0.21684064747866091,0.08657341232630326,0.11590958260936773,-0.056697949437945455
Often Watch Television,1,-0.0009585513499118356,-0.0017514233477917618,0.003546169199861721,-0.0023078344284825827,-0.0029730562127966275,0.001728664920027286,0.0003907317286589115,-0.0005297904827868962,0.005363673479696155
Often Do Word Games,0,0.07784269526026376,-0.020126548814878485,-0.06269159971905681,0.06357349525800535,-0.030765182782038533,-0.07286138149735129,0.09211189526252217,-0.009487914847718437,-0.052521817940762335
Often Do Word Games,1,-0.12323168522655999,0.03186205873215926,0.09924619718135554,-0.1498453091863001,0.014947181974813876,0.08555599289293453,-0.09661806126681988,0.04877693548950465,0.11293640146977654
Often Play Cards And Games,0,-0.008740168332969051,0.011485235093409776,-0.004248618024157538,-0.016887211260010825,0.0051328794890647435,-0.008436273120211231,-0.0005931254059272778,0.01783759069775481,-6.096292810384499e-05
Often Play Cards And Games,1,0.03517507861565755,-0.046222684957460125,0.017098695049603714,0.0017409021669688232,-0.07189014896708415,0.0017593627653444167,0.06860925506434629,-0.020555220947836104,0.032438027333863015
Often Do Writing,0,0.010122593269336138,0.004035502299048565,-0.015281885755605955,0.0072121370839423205,0.0022451143798545483,-0.017499789121752235,0.013033049454729955,0.005825890218242582,-0.013063982389459675
Often Do Writing,1,-0.05625569253825037,-0.02242705703294222,0.0849281447547894,-0.07425942375309107,-0.03301187617127335,0.07429047450277995,-0.038251961323409675,-0.011842237894611087,0.09556581500679884
Often Use Computer,0,0.30626351147374753,-0.07400962681195168,-0.29624948011867197,0.2688277987964078,-0.08270546640914132,-0.3518715366606359,0.3436992241510873,-0.06531378721476204,-0.24062742357670802
Often Use Computer,1,-0.20276252525732114,0.048998258896504526,0.19613271070386545,-0.23317290991931686,0.0438837285411042,0.1722054442012717,-0.17235214059532541,0.05411278925190485,0.2200599772064592
Often Maintenance/Gardening,0,0.01958856199588914,-0.02250067038479634,0.004897838036001777,0.013391872083479844,-0.03132153757003951,-0.005676487909581421,0.025785251908298435,-0.01367980319955317,0.015472163981584974
Often Maintenance/Gardening,1,-0.01564251903184122,0.017967994015958236,-0.003911186778749355,-0.020920751144752024,0.011134260543665161,-0.011386493691114398,-0.010364286918930418,0.02480172748825131,0.0035641201336156884
Often Bake Or Cook,0,0.01229044930346462,0.009628307619015168,-0.0258094678854462,0.006321398452418312,0.00600403931001412,-0.03328369781408512,0.01825950015451093,0.013252575928016215,-0.018335237956807283
Often Bake Or Cook,1,-0.018765678762329145,-0.014700986379105888,0.03940719915165371,-0.028484460997016722,-0.019951874117240014,0.029277700785598083,-0.009046896527641566,-0.009450098640971762,0.04953669751770933
Often Sew Or Knit,0,0.00831807148648998,-0.00010977946313961949,-0.007915214086532518,0.006706527338708634,-0.0022923405387086106,-0.009724446632853294,0.009929615634271326,0.0020727816124293716,-0.006105981540211742
Often Sew Or Knit,1,-0.13722727984998292,0.0018110853140068904,0.1305811449552073,-0.1711316780772491,-0.03534581702732323,0.10551661346521432,-0.10332288162271674,0.038967987655337016,0.1556456764452003
Often Do Hobby,0,0.0026123694334333736,0.002060999824248581,-0.005949902117737466,-0.0010407322962810886,-0.0023868291362664816,-0.010590945743116156,0.006265471163147835,0.006508828784763643,-0.001308858492358774
Often Do Hobby,1,-0.007074819456039477,-0.005581600163007604,0.0161135261825414,-0.017785041788849022,-0.017700792722441953,0.004903726789180817,0.003635402876770069,0.006537592396426745,0.02732332557590199
Often Play Sport/Exercise,0,-0.0033392951913429575,0.011228500402914988,-0.010407548123503812,-0.011081497102270396,0.005497600750022103,-0.0156319457634703,0.004402906719584482,0.016959400055807875,-0.005183150483537325
Often Play Sport/Exercise,1,0.0049778906858073835,-0.016738336795189438,0.015514542410144449,-0.007521102257288154,-0.025127655896425335,0.008637587686319061,0.01747688362890292,-0.00834901769395354,0.02239149713396984
Often Walk For 20 Mins,0,-0.027986209225946704,-0.008533152045958635,0.043606959165133664,-0.03963308135328809,-0.014288232912183688,0.02764680552382489,-0.01633933709860532,-0.002778071179733582,0.05956711280644244
Often Walk For 20 Mins,1,0.024013780381708805,0.00732193622726867,-0.03741728406485322,0.013495072021447214,0.0023872573919484306,-0.049947399230869584,0.034532488741970395,0.01225661506258891,-0.02488716889883686
Self Ongoing Health Problems,0,-0.06156613118369753,-0.0018961737705633567,0.07048437898794718,-0.07600480117466557,-0.008864619739351324,0.05574918364947266,-0.0471274611927295,0.0050722721982246095,0.0852195743264217
