,1,2,3
Education (0),0.001,0.124,0.0
Education (1),0.002,0.145,0.0
Education (2),0.002,0.145,0.0
Education (3),0.002,0.145,0.0
Education (5),0.0,0.001,0.0
Education (6),0.0,0.001,0.0
Education (7),0.0,0.0,0.0
Education (8),0.0,0.0,0.0
Education (9),0.0,0.621,0.0
Education (10),0.0,0.163,0.0
Education (11),0.0,0.119,0.0
Education (12),0.0,0.0,0.0
Education (13),0.0,0.428,0.0
Education (14),0.006,0.666,0.0
Education (15),0.043,0.72,0.0
Education (16),0.0,0.035,0.0
Education (17),0.0,0.0,0.0
Education (17),0.0,0.0,0.0
Age (60),0.0,0.0,0.0
Age (61),0.0,0.0,0.0
Age (62),0.0,0.0,0.0
Age (63),0.0,0.0,0.0
Age (64),0.0,0.0,0.0
Age (65),0.0,0.0,0.0
Age (66),0.0,0.0,0.0
Age (67),0.0,0.01,0.0
Age (68),0.0,0.01,0.0
Age (69),0.0,0.0,0.0
Age (70),0.0,0.0,0.0
Age (71),0.0,0.0,0.0
Age (72),0.026,0.677,0.0
Age (73),0.021,0.068,0.0
Age (74),0.222,0.936,0.42
Age (75),0.0,0.208,0.0
Age (76),0.0,0.208,0.0
Age (77),0.0,0.208,0.0
Age (78),0.0,0.208,0.0
Age (79),0.002,0.138,0.006
Age (80),0.0,0.051,0.0
Age (81),0.0,0.157,0.0
Age (82),0.0,0.001,0.0
Age (83),0.0,0.002,0.0
Age (84),0.0,0.0,0.0
Age (85),0.0,0.0,0.0
Age (86),0.0,0.0,0.0
Age (87),0.0,0.0,0.0
Age (88),0.0,0.0,0.0
Age (89),0.0,0.0,0.0
Age (90),0.0,0.0,0.0
Age (91),0.0,0.004,0.003
Age (92),0.0,0.004,0.002
Age (93),0.001,0.009,0.005
Age (94),0.001,0.009,0.005
Age (95),0.001,0.009,0.005
Age (96),0.001,0.009,0.005
Age (99),0.001,0.009,0.005
Often Care Adult,0.552,0.575,0.098
Often Do Activities With Grandchildren,0.023,0.003,0.835
Often Volunteer Youth,0.005,0.896,0.105
Often Charity Work,0.001,0.001,0.891
Often Education,0.303,0.243,0.933
Often Attend Sports/Social/Club,0.0,0.0,0.295
Often Attend Non Religious Orgs,0.046,0.0,0.0
Often Pray Privately,0.001,0.777,0.0
Often Read,0.0,0.347,0.0
Often Watch Television,0.27,0.124,0.008
Often Do Word Games,0.0,0.079,0.0
Often Play Cards And Games,0.466,0.048,0.032
Often Do Writing,0.024,0.297,0.0
Often Use Computer,0.0,0.0,0.0
Often Maintenance/Gardening,0.003,0.015,0.485
Often Bake Or Cook,0.131,0.0,0.0
Often Sew Or Knit,0.002,0.994,0.0
Often Do Hobby,0.14,0.551,0.415
Often Play Sport/Exercise,0.529,0.162,0.306
Often Walk For 20 Mins,0.002,0.048,0.0
Difficulty Paying Bills,0.081,0.427,0.204
Self Ongoing Health Problems,0.0,0.269,0.0
Ongoing Phy/Emot Problems In Sp/Chld,0.002,0.146,0.001
Ongoing Drug/Alcohol Probs Fam Mbr,0.762,0.0,0.0
Ongoing Difficulties At Work,0.002,0.058,0.16
Ongoing Financial Strain,0.016,0.874,0.0
Ongoing Housing Problems,0.0,0.0,0.0
Ongoing Problems Close Relationship,0.688,0.296,0.841
Reg Help Ailing Friend/Fam,0.0,0.013,0.0
Drink,0.0,0.0,0.0
Smoke,0.0,0.264,0.001
Vigourious Activities,0.409,0.926,0.423
Moderate Activities,0.0,0.023,0.0
Mild Activities,0.0,0.771,0.0
