,1,2,3
Often Care Adult,0.353,0.581,0.014
Often Do Activities With Grandchildren,0.547,0.218,0.177
Often Volunteer Youth,0.0,0.695,0.024
Often Charity Work,0.0,0.002,0.512
Often Education,0.121,0.202,0.576
Often Attend Sports/Social/Club,0.0,0.0,0.264
Often Attend Non Religious Orgs,0.125,0.002,0.001
Often Pray Privately,0.004,0.298,0.0
Often Read,0.0,0.213,0.0
Often Watch Television,0.478,0.151,0.051
Often Do Word Games,0.0,0.059,0.0
Often Play Cards And Games,0.293,0.072,0.264
Often Do Writing,0.002,0.033,0.0
Often Use Computer,0.0,0.0,0.0
Often Maintenance/Gardening,0.003,0.009,0.604
Often Bake Or Cook,0.053,0.005,0.0
Often Sew Or Knit,0.0,0.962,0.0
Often Do Hobby,0.507,0.646,0.152
Often Play Sport/Exercise,0.695,0.047,0.023
Often Walk For 20 Mins,0.023,0.138,0.003
Difficulty Paying Bills,0.414,0.82,0.368
Self Ongoing Health Problems,0.0,0.795,0.0
Ongoing Phy/Emot Problems In Sp/Chld,0.001,0.155,0.0
Ongoing Drug/Alcohol Probs Fam Mbr,0.895,0.0,0.0
Ongoing Difficulties At Work,0.0,0.071,0.001
Ongoing Financial Strain,0.004,0.323,0.0
Ongoing Housing Problems,0.0,0.0,0.001
Ongoing Problems Close Relationship,0.262,0.546,0.025
Reg Help Ailing Friend/Fam,0.0,0.008,0.0
Drink,0.0,0.0,0.0
Smoke,0.888,0.085,0.293
Vigourious Activities,0.001,0.938,0.016
Moderate Activities,0.0,0.014,0.0
Mild Activities,0.0,0.256,0.0
