,1,2,3
Often Care Adult (0.0),0.343,0.588,0.028
Often Care Adult (1.0),0.353,0.581,0.014
Often Do Activities With Grandchildren (0.0),0.537,0.214,0.198
Often Do Activities With Grandchildren (1.0),0.547,0.216,0.177
Often Volunteer Youth (0.0),0.0,0.7,0.048
Often Volunteer Youth (1.0),0.0,0.694,0.023
Often Charity Work (0.0),0.0,0.004,0.557
Often Charity Work (1.0),0.0,0.002,0.515
Often Education (0.0),0.075,0.204,0.595
Often Education (1.0),0.12,0.202,0.576
Often Attend Sports/Social/Club (0.0),0.0,0.0,0.322
Often Attend Sports/Social/Club (1.0),0.0,0.0,0.267
Often Attend Non Religious Orgs (0.0),0.134,0.002,0.005
Often Attend Non Religious Orgs (1.0),0.124,0.002,0.001
Often Pray Privately (0.0),0.002,0.286,0.001
Often Pray Privately (1.0),0.004,0.297,0.0
Often Read (0.0),0.0,0.219,0.0
Often Read (1.0),0.0,0.213,0.0
Often Watch Television (0.0),0.456,0.162,0.088
Often Watch Television (1.0),0.478,0.152,0.051
Often Do Word Games (0.0),0.0,0.058,0.0
Often Do Word Games (1.0),0.0,0.06,0.0
Often Play Cards And Games (0.0),0.283,0.071,0.31
Often Play Cards And Games (1.0),0.293,0.072,0.265
Often Do Writing (0.0),0.001,0.024,0.0
Often Do Writing (1.0),0.002,0.034,0.0
Often Use Computer (0.0),0.0,0.0,0.0
Often Use Computer (1.0),0.0,0.0,0.0
Often Maintenance/Gardening (0.0),0.002,0.011,0.643
Often Maintenance/Gardening (1.0),0.003,0.009,0.601
Often Bake Or Cook (0.0),0.039,0.008,0.001
Often Bake Or Cook (1.0),0.053,0.005,0.0
Often Sew Or Knit (0.0),0.0,0.96,0.0
Often Sew Or Knit (1.0),0.0,0.961,0.0
Often Do Hobby (0.0),0.475,0.643,0.2
Often Do Hobby (1.0),0.509,0.645,0.151
Often Play Sport/Exercise (0.0),0.666,0.05,0.046
Often Play Sport/Exercise (1.0),0.691,0.046,0.024
Often Walk For 20 Mins (0.0),0.016,0.138,0.006
Often Walk For 20 Mins (1.0),0.022,0.138,0.003
Self Ongoing Health Problems (0.0),0.0,0.786,0.0
Self Ongoing Health Problems (1.0),0.0,0.793,0.0
Ongoing Phy/Emot Problems In Sp/Chld (0.0),0.001,0.159,0.0
Ongoing Phy/Emot Problems In Sp/Chld (1.0),0.001,0.155,0.0
Ongoing Drug/Alcohol Probs Fam Mbr (0.0),0.896,0.0,0.0
Ongoing Drug/Alcohol Probs Fam Mbr (1.0),0.894,0.0,0.0
Ongoing Difficulties At Work (0.0),0.0,0.07,0.003
Ongoing Difficulties At Work (1.0),0.0,0.071,0.001
Ongoing Financial Strain (0.0),0.006,0.319,0.0
Ongoing Financial Strain (1.0),0.004,0.324,0.0
Ongoing Housing Problems (0.0),0.0,0.0,0.0
Ongoing Housing Problems (1.0),0.0,0.0,0.001
Ongoing Problems Close Relationship (0.0),0.266,0.547,0.032
Ongoing Problems Close Relationship (1.0),0.262,0.546,0.025
Reg Help Ailing Friend/Fam (0.0),0.0,0.008,0.0
Reg Help Ailing Friend/Fam (1.0),0.0,0.008,0.0
Difficulty Paying Bills (0.0),0.428,0.822,0.327
Difficulty Paying Bills (1.0),0.409,0.824,0.358
Often Vigorous Activity (0.0),0.0,0.941,0.033
Often Vigorous Activity (1.0),0.001,0.939,0.015
Often Moderate Activity (0.0),0.0,0.017,0.0
Often Moderate Activity (1.0),0.0,0.014,0.0
Often Mild Activity (0.0),0.0,0.277,0.0
Often Mild Activity (1.0),0.0,0.26,0.0
Drink Alcohol (0.0),0.0,0.0,0.0
Drink Alcohol (1.0),0.0,0.0,0.0
Smoking (0.0),0.883,0.073,0.252
Smoking (1.0),0.878,0.085,0.295
