,1,2,3
Often Care Adult (0.0),0.591,0.558,-1.493
Often Care Adult (1.0),-0.588,-0.566,1.63
Often Do Activities With Grandchildren (0.0),-2.255,2.999,0.199
Often Do Activities With Grandchildren (1.0),2.287,-3.001,-0.207
Often Volunteer Youth (0.0),2.858,-0.127,-1.403
Often Volunteer Youth (1.0),-2.797,0.131,1.624
Often Charity Work (0.0),3.757,-3.239,-0.123
Often Charity Work (1.0),-3.373,3.229,0.135
Often Education (0.0),1.147,-1.145,-0.078
Often Education (1.0),-1.014,1.161,0.08
Often Attend Sports/Social/Club (0.0),10.612,-4.487,-0.918
Often Attend Sports/Social/Club (1.0),-8.853,4.484,1.023
Often Attend Non Religious Orgs (0.0),-1.988,4.341,-3.254
Often Attend Non Religious Orgs (1.0),2.029,-4.219,3.607
Often Pray Privately (0.0),3.539,-0.288,-3.867
Often Pray Privately (1.0),-3.345,0.284,4.077
Often Read (0.0),7.656,0.931,-5.578
Often Read (1.0),-6.805,-0.954,7.283
Often Watch Television (0.0),1.147,1.461,-2.331
Often Watch Television (1.0),-1.11,-1.533,2.662
Often Do Word Games (0.0),5.315,-1.764,-7.829
Often Do Word Games (1.0),-4.43,1.762,9.178
Often Play Cards And Games (0.0),-0.763,2.016,-1.961
Often Play Cards And Games (1.0),0.75,-1.995,2.148
Often Do Writing (0.0),2.506,1.088,-3.504
Often Do Writing (1.0),-2.219,-1.036,3.941
Often Use Computer (0.0),28.183,-8.435,-10.444
Often Use Computer (1.0),-26.694,9.484,18.219
Often Maintenance/Gardening (0.0),3.179,-2.344,0.642
Often Maintenance/Gardening (1.0),-2.956,2.421,-0.726
Often Bake Or Cook (0.0),1.591,4.477,-3.589
Often Bake Or Cook (1.0),-1.504,-4.627,4.06
Often Sew Or Knit (0.0),3.992,0.014,-5.407
Often Sew Or Knit (1.0),-3.061,-0.013,5.984
Often Do Hobby (0.0),-1.659,0.603,0.797
Often Do Hobby (1.0),1.504,-0.606,-0.912
Often Play Sport/Exercise (0.0),-0.729,1.41,-0.88
