Category,Factors,Score G1,Score G2,Score G3,Score G4,Score G5,Err Low G1,Err Low G2,Err Low G3,Err Low G4,Err Low G5,Err High G1,Err High G2,Err High G3,Err High G4,Err High G5
Often Care Adult,0,0.00974170595784905,-0.0037738561236412755,0.0073681059811344304,-0.003099619899513775,-0.010098994904487058,0.005279417119532437,-0.007900644432176885,0.003586985390272714,-0.006074101490603089,-0.013122773444995371,0.014203994796165662,0.00035293218489433316,0.011149226571996147,-0.00012513830842446165,-0.007075216363978745
Often Care Adult,1,-0.07745783169055812,0.03000652182627883,-0.0585849660659352,0.024645563879681504,0.08029869213259248,-0.1174804770109843,-0.00412046419844856,-0.09058123201967437,0.0030958002191289434,0.05871900286155403,-0.03743518637013194,0.06413350785100622,-0.026588700112196023,0.04619532754023406,0.10187838140363094
Often Do Activities With Grandchildren,0,0.042111457769581716,-0.04543055834022331,0.0038646032453086027,0.013146215906643607,-0.007911657995139522,0.03195211535643534,-0.05930577581852152,-4.6813425501853086e-05,0.0054905895311034465,-0.01583756993222167,0.05227080018272809,-0.0315553408619251,0.0077760199161190586,0.020801842282183767,1.4253941942625123e-05
Often Do Activities With Grandchildren,1,-0.13412904217474944,0.14470069663652857,-0.012309132932773796,-0.04187196172188168,0.02519939145086507,-0.1739293944549004,0.10557360447789475,-0.02512740074066074,-0.0662002632937659,0.001892278046945358,-0.09432868989459849,0.18382778879516237,0.0005091348751131465,-0.017543660149997465,0.04850650485478478
Often Volunteer Youth,0,0.003332522529686662,0.003807280477943593,0.002753836857180716,-0.010712656051833778,0.0037395290205393832,0.0014185826354837228,0.0015852999009385834,0.0015924303894079663,-0.012979561296941335,0.0009506903492690843,0.005246462423889601,0.006029261054948602,0.003915243324953466,-0.00844575080672622,0.006528367691809683
Often Volunteer Youth,1,-0.06657014884602994,-0.07605386786060815,-0.05501037962898347,0.21399498474626993,-0.07470047127776261,-0.11569525998426625,-0.12339328105086732,-0.07948673368065753,0.17800162684481713,-0.12463555474122973,-0.017445037707793626,-0.028714454670348985,-0.030534025577309405,0.24998834264772274,-0.024765387814295485
Often Charity Work,0,0.02528726436387696,-0.001630113546494855,-0.012269167761115585,0.003871356257090534,-0.005931900992029163,0.021603198226997605,-0.005167597612072577,-0.015888812365495386,0.0017674120721925634,-0.011107266926577042,0.028971330500756315,0.001907370519082867,-0.008649523156735783,0.005975300441988504,-0.0007565350574812845
Often Charity Work,1,-0.2321696201829639,0.01496653957892937,0.11264674494123667,-0.03554403113235169,0.05446248279231454,-0.28970446631596053,-0.020356126443496575,0.0820111871933159,-0.053221598630032466,0.01532486242645121,-0.17463477404996725,0.050289205601355316,0.14328230268915743,-0.01786646363467091,0.09360010315817788
Often Education,0,0.0034824794756550675,0.0013054513151674225,0.003007223338252393,-0.00355012397135578,-0.0028806789103710227,0.0018681146913759003,-3.5735850014121e-05,0.0013433295416141991,-0.005209286580307049,-0.005436364645792703,0.005096844259934235,0.002646638480348966,0.004671117134890587,-0.0018909613624045107,-0.0003249931749493419
Often Education,1,-0.11777745586665435,-0.04415036347896223,-0.1017042932996959,0.12006519271125246,0.09742456074874797,-0.1919226529379842,-0.09660220304941904,-0.16066807915119466,0.06761523983885517,0.0300905913665538,-0.04363225879532451,0.008301476091494578,-0.04274050744819712,0.17251514558364975,0.16475853013094216
Often Attend Sports/Social/Club,0,0.022691536080395487,0.0074751498260343845,-0.015310062028329137,-0.001466548728534391,-0.0039261704882536915,0.01659972080167784,0.0038915092812892354,-0.019997870825858986,-0.004716344355840485,-0.009172983059984745,0.028783351359113134,0.011058790370779534,-0.010622253230799288,0.0017832468987717025,0.0013206420834773617
Often Attend Sports/Social/Club,1,-0.13596695514839385,-0.04479085759214177,0.09173739978420511,0.008787512863346631,0.023525487423592402,-0.1888709419322814,-0.06903771322646804,0.0649286433491792,-0.009409350578911246,-0.0019205948381769665,-0.0830629683645063,-0.020544001957815507,0.11854615621923104,0.026984376305604508,0.048971569685361774
Often Attend Non Religious Orgs,0,-0.011985913084983096,0.0035734674135689346,0.005910617788697876,0.007575997327554473,-0.009657582726133181,-0.01524252712562782,-0.0003917578344765846,0.002935132124657872,0.004918175781294557,-0.013641957212142545,-0.008729299044338373,0.007538692661614454,0.00888610345273788,0.01023381887381439,-0.005673208240123817
Often Attend Non Religious Orgs,1,0.26440448004025624,-0.0788292712225041,-0.13038587982882532,-0.16712349071578772,0.21304243748840815,0.18936548082189217,-0.17503419750437446,-0.20429845548327735,-0.22473697989978342,0.14463813468887843,0.3394434792586203,0.017375655059366252,-0.056473304174373296,-0.10951000153179201,0.28144674028793787
Often Pray Privately,0,0.039287060463783455,0.02392448169690362,0.02894724710942835,-0.059350901302125565,-0.034390174669838444,0.020290278577424905,0.007725798807586115,0.018444294013950317,-0.06754173932065913,-0.052442037174231806,0.058283842350142,0.04012316458622112,0.03945020020490639,-0.051160063283592,-0.01633831216544508
Often Pray Privately,1,-0.026512624257185275,-0.016145285147068672,-0.019534866615934572,0.04005258034001066,0.023207991852709636,-0.040422873238042806,-0.02715493124412588,-0.027063882307875972,0.03507013221916896,0.011926384475790265,-0.012602375276327743,-0.005135639050011463,-0.012005850923993172,0.04503502846085237,0.034489599229629006
Often Read,0,0.17656087965232872,-0.0012646328041948486,0.052398605370718436,-0.17096108409693758,-0.08632311492961847,0.14893917901509462,-0.021282343155315717,0.03704701981761263,-0.198981534220554,-0.1159683114804743,0.20418258028956282,0.018753077546926022,0.06775019092382424,-0.14294063397332116,-0.05667791837876264
Often Read,1,-0.038098681433358636,0.00027288515118450307,-0.01130668230415642,0.036890345660582205,0.018626984995287785,-0.046181728240828855,-0.004340168571563627,-0.014700713512000418,0.032071599180615605,0.013909946172649965,-0.030015634625888417,0.004885938873932633,-0.007912651096312423,0.041709092140548805,0.023344023817925608
Often Watch Television,0,-0.14603035873887243,0.1672562929472517,0.2744889742164514,-0.1735864642828656,-0.3046976838341862,-0.22391911442488305,0.11487968906651047,0.19884888265337586,-0.2631731871864987,-0.4348357687998165,-0.06814160305286181,0.21963289682799292,0.35012906577952696,-0.0839997413792325,-0.17455959886855593
Often Watch Television,1,0.003786290974961925,-0.004336639298573409,-0.007116979885400036,0.0045007686673223845,0.007900234583797404,0.0020169261975746455,-0.005863249744564147,-0.009436443880979148,0.0025754177466354514,0.005134703032772515,0.005555655752349204,-0.0028100288525826707,-0.004797515889820924,0.0064261195880093176,0.010665766134822292
Often Do Word Games,0,0.06564559792940763,0.0792645673957034,-0.025836424383141012,0.002274821465979,-0.11719693509044006,0.05778316440303706,0.06587163034415279,-0.03706737416750056,-0.0031035436038119443,-0.13252891227786825,0.07350803145577821,0.092657504447254,-0.01460547459878146,0.007653186535769944,-0.10186495790301188
Often Do Word Games,1,-0.1039226305499673,-0.1254826311739103,0.04090128311099624,-0.003601238136794648,0.18553283344436136,-0.11937470999751836,-0.14893843660184242,0.024046721351429243,-0.011557916404334664,0.1698999120553879,-0.08847055110241624,-0.10202682574597816,0.05775584487056323,0.004355440130745368,0.20116575483333482
Often Play Cards And Games,0,0.025673059655735176,-0.023380536171189552,0.01788169232899193,0.015255062489864444,-0.03841954030990039,0.017699499899117344,-0.029630759175552645,0.012012515024287901,0.01016095865980414,-0.04734129959962287,0.03364661941235301,-0.01713031316682646,0.023750869633695958,0.02034916631992475,-0.029497781020177912
Often Play Cards And Games,1,-0.10332202507914201,0.09409569319112218,-0.07196542554914644,-0.06139447227161896,0.15462063192541442,-0.14280681465597747,0.06929916879323539,-0.09618312003512783,-0.08317056189408248,0.12741421854704982,-0.06383723550230655,0.11889221758900897,-0.047747731063165044,-0.03961838264915544,0.18182704530377902
Often Do Writing,0,0.008965385070133673,0.004821881288487926,0.008778596545572618,0.0045564481240588095,-0.028717809057181798,0.003563726176590262,0.0010774404818543002,0.005324173890050991,0.002137627136046958,-0.033660478666872364,0.014367043963677082,0.008566322095121552,0.012233019201094245,0.006975269112070661,-0.023775139447491232
Often Do Writing,1,-0.049824578798426486,-0.026797310136210683,-0.04878651300562108,-0.025322181570805177,0.15959746615394255,-0.08875195004581668,-0.049781949660084465,-0.0686467061522107,-0.03773056401501526,0.14119246361051904,-0.010897207551036299,-0.0038126706123369006,-0.028926319859031453,-0.012913799126595096,0.17800246869736605
Often Use Computer,0,0.2806898731737643,0.18455741520994792,-0.07374269170458586,-0.1450961252319287,-0.2710979556040687,0.26828951983766314,0.16666395341687174,-0.08710402776387043,-0.1586168006073336,-0.2945213654935862,0.2930902265098655,0.2024508770030241,-0.06038135564530129,-0.13157544985652378,-0.24767454571455114
Often Use Computer,1,-0.18583143393413415,-0.12218669923446193,0.04882153383974252,0.09606125331584013,0.17948108087009226,-0.20058899491117282,-0.14010068663724246,0.04077240083493975,0.08909455807366388,0.17167963662348024,-0.17107387295709547,-0.1042727118316814,0.05687066684454529,0.10302794855801638,0.1872825251167043
Often Maintenance/Gardening,0,0.07368352947953838,-0.027499421942328704,-0.018520412038983747,-0.017815122640963882,0.004711692549132707,0.0653399863288435,-0.0338285361923935,-0.026486432158114553,-0.02767999754033909,-0.0021714922974859488,0.08202707263023326,-0.021170307692263905,-0.01055439191985294,-0.007950247741588671,0.011594877395751362
Often Maintenance/Gardening,1,-0.05884025649554046,0.02195976566262406,0.014789543911295904,0.01422633243953004,-0.003762539607933454,-0.06792927572185016,0.016540462219973344,0.008303496907438895,0.0073157819567528,-0.008624377953637928,-0.049751237269230766,0.027379069105274774,0.021275590915152912,0.021136882922307282,0.0010992987377710208
Often Bake Or Cook,0,-0.013309998417270657,0.017879108593913305,0.012008809346663662,-0.03212425463550351,0.015932856685950805,-0.0237800817142155,0.011127623787357628,0.0034176586720166355,-0.041929174911829944,0.0008227306429664533,-0.0028399151203258137,0.024630593400468984,0.02059996002131069,-0.022319334359177073,0.03104298272893516
Often Bake Or Cook,1,0.020322377844657083,-0.0272987260388923,-0.018335656651219407,0.0490489345087804,-0.02432709032455769,0.0016945439012536305,-0.03828377916586083,-0.03166999429209359,0.035962997648873236,-0.04513932697784396,0.03895021178806053,-0.016313672911923777,-0.005001319010345225,0.06213487136868757,-0.0035148536712714187
Often Sew Or Knit,0,0.011445751852583631,0.009268831947949698,0.004999689177937796,-0.009943664485139222,-0.009899622688302294,0.008807027101813473,0.007375598659888794,0.003377673162378343,-0.013300259998582295,-0.01309194076171152,0.014084476603353789,0.0111620652360106,0.00662170519349725,-0.006587068971696148,-0.006707304614893068
Often Sew Or Knit,1,-0.188826147397146,-0.15291243861868775,-0.08248230940286323,0.16404547992317622,0.16331890093314794,-0.2520555414333001,-0.1919191137866025,-0.1122198974153726,0.11454538668499652,0.12275969695163384,-0.1255967533609919,-0.113905763450773,-0.05274472139035387,0.21354557316135592,0.20387810491466202
