Category,Factors,Score G1,Score G2,Score G3,Score G4,Score G5,Err Low G1,Err Low G2,Err Low G3,Err Low G4,Err Low G5,Err High G1,Err High G2,Err High G3,Err High G4,Err High G5
Often Care Adult,0,0.008788046622958852,-0.0017256003814167572,0.007242273932251443,-0.003980034199363769,-0.010307651503586472,0.005064895217311415,-0.004510616416909527,0.00392277871378844,-0.006373437243211376,-0.013127297200816956,0.012511198028606289,0.0010594156540760125,0.010561769150714446,-0.0015866311555161614,-0.007488005806355988
Often Care Adult,1,-0.06987513677329493,0.013720519228077198,-0.057584455713248626,0.03164587603761475,0.08195775347196135,-0.10365547783408216,-0.009136493161718983,-0.08577424867681678,0.014083714680037242,0.06151698244951715,-0.0360947957125077,0.03657753161787338,-0.029394662749680476,0.04920803739519225,0.10239852449440556
Often Do Activities With Grandchildren,0,0.05209821128326303,-0.03756890461351354,0.0013063957337938956,0.004275166636264459,-0.012336495340220499,0.041855190587798435,-0.0491381613788358,-0.002249202927841797,-0.0029437807596709694,-0.019534677054120653,0.062341231978727624,-0.025999647848191275,0.004861994395429588,0.011494114032199888,-0.005138313626320345
Often Do Activities With Grandchildren,1,-0.16593781238058533,0.119660573588715,-0.004160996027107961,-0.013616816810217328,0.03929292386007731,-0.2051100335391505,0.08664864175546237,-0.01579214506243383,-0.036685724542683804,0.018231683041954265,-0.12676559122202016,0.15267250542196764,0.007470153008217907,0.009452090922249152,0.06035416467820035
Often Volunteer Youth,0,0.006648183887723048,0.0032760508034149903,0.0023774758061049523,-0.010356545046458058,0.0017671992057704906,0.005389741314406476,0.0008621936793535368,0.0014004324944879424,-0.013129212570840288,-0.0006266489353289749,0.00790662646103962,0.005689907927476444,0.003354519117721962,-0.007583877522075828,0.004161047346869956
Often Volunteer Youth,1,-0.13280348055234714,-0.065442075085085,-0.04749222754845799,0.20688134562683683,-0.03530140100201776,-0.16556088808801767,-0.11682400700813542,-0.06772978176856824,0.16167047282511637,-0.07905672170347604,-0.10004607301667662,-0.014060143162034577,-0.02725467332834775,0.2520922184285573,0.008453919699440524
Often Charity Work,0,0.0212186087145635,0.00016907175340961065,-0.00997302644400823,0.003292998995884946,-0.007872022410910716,0.019291772151168438,-0.002879340434673144,-0.012755294776278549,0.0016861593717785097,-0.012529780571209582,0.02314544527795856,0.003217483941492365,-0.0071907581117379125,0.004899838619991382,-0.0032142642506118504
Often Charity Work,1,-0.19481412679453033,-0.0015522962155151377,0.09156521355025102,-0.030233967389119095,0.07227529348029138,-0.22161039101322288,-0.03104979431195504,0.06851741188836732,-0.04370093413613242,0.03664200876795733,-0.16801786257583778,0.027945201880924763,0.11461301521213471,-0.01676700064210577,0.10790857819262542
Often Education,0,0.005373804386164896,0.0018326694213447276,0.0027804942200281534,-0.0037341158511332868,-0.004105422191846217,0.004354889281353529,0.0008110938537499875,0.0013770294025777661,-0.005138334854398227,-0.006270129395314598,0.006392719490976264,0.0028542449889394678,0.00418395903747854,-0.0023298968478683464,-0.0019407149883778358
Often Education,1,-0.1817420643400968,-0.061980879829878696,-0.09403631452135214,0.12628779808532775,0.13884537852823906,-0.22796544490215054,-0.10130328908815028,-0.14386682489806574,0.08130585483815309,0.08268791766013331,-0.13551868377804305,-0.02265847057160711,-0.04420580414463855,0.17126974133250242,0.1950028393963448
Often Attend Sports/Social/Club,0,0.021798453836409416,0.006333571148479016,-0.01314353048261039,-0.00013400612290959037,-0.007100177894597538,0.015864253564489776,0.0033707485856589304,-0.01743147362917165,-0.002968569055036642,-0.010893931177020713,0.027732654108329056,0.009296393711299101,-0.008855587336049128,0.002700556809217461,-0.003306424612174363
Often Attend Sports/Social/Club,1,-0.13061563503583473,-0.03795055483345659,0.0787556123696976,0.0008029603830566586,0.04254403782626316,-0.18259028676378541,-0.057961354987744074,0.05414946489520163,-0.015095121161745516,0.02374114193428736,-0.07864098330788405,-0.017939754679169112,0.10336175984419356,0.01670104192785883,0.06134693371823896
Often Attend Non Religious Orgs,0,-0.008273584680870668,0.002748692687073796,0.004726765671545055,0.006013744988184615,-0.00840753634333174,-0.011326109520955599,-0.0004516464573637406,0.002220306463696389,0.003402167308470963,-0.011063984916835665,-0.005221059840785735,0.0059490318315113325,0.007233224879393721,0.008625322667898267,-0.0057510877698278146
Often Attend Non Religious Orgs,1,0.18251199054291523,-0.06063506848107823,-0.10427057252924887,-0.13266082487180764,0.18546691099098028,0.11164576791503443,-0.13746560704339505,-0.165194563272433,-0.18864444446445094,0.13879173991663746,0.253378213170796,0.016195470081238603,-0.043346581786064736,-0.07667720527916433,0.2321420820653231
Often Pray Privately,0,0.04091823290189226,0.013706522409109483,0.020576770953907857,-0.05620976103664911,-0.01598720790846563,0.023253702732962667,0.003535055692465318,0.011122479427194432,-0.06478861907319826,-0.027398955068839582,0.05858276307082186,0.023877989125753646,0.030031062480621283,-0.047630903000099964,-0.004575460748091675
Often Pray Privately,1,-0.027613410659622334,-0.009249759951890622,-0.013886103726951768,0.0379328017000571,0.010788866135438804,-0.040742965852988366,-0.016222340138384674,-0.02063457730775989,0.03251445283703992,0.003415934383055785,-0.014483855466256298,-0.002277179765396569,-0.007137630146143645,0.04335115056307427,0.018161797887821823
Often Read,0,0.1641359114027543,0.0011971206277534934,0.04869990870823723,-0.1447857819610439,-0.1022270956657016,0.1406599912560205,-0.018847760686918725,0.036853795749832156,-0.16867976006911542,-0.12537378584630862,0.1876118315494881,0.021242001942425714,0.06054602166664231,-0.1208918038529724,-0.07908040548509457
Often Read,1,-0.035417595407437906,-0.0002583172304300485,-0.010508569686344487,0.031242183398018555,0.022058779721160465,-0.042289615144322674,-0.004809088015681014,-0.013142553409212925,0.027006827009342385,0.018332857425208602,-0.028545575670553137,0.004292453554820917,-0.007874585963476049,0.035477539786694726,0.02578470201711233
Often Watch Television,0,-0.11058747303669648,0.11148343918477018,0.21773345582003223,-0.1462931461451131,-0.1944951579269739,-0.16409016503525306,0.0580618308432401,0.16235515174486465,-0.22549190113012216,-0.27760829372084583,-0.057084781038139916,0.16490504752630025,0.2731117598951998,-0.06709439116010404,-0.11138202213310196
Often Watch Television,1,0.0028673239915230665,-0.0028905546989569167,-0.0056454166506077885,0.003793104555324088,0.0050428915431861236,0.001588404795738873,-0.0043698122214518645,-0.007314180611007422,0.0020529631643307874,0.0031947281040991824,0.00414624318730726,-0.001411297176461969,-0.003976652690208155,0.005533245946317389,0.006891054982273065
Often Do Word Games,0,0.060644767465441195,0.06828280861098998,-0.019402439843407917,0.0006792719760950888,-0.10795178559350095,0.054237036389224114,0.060017299333758156,-0.02720710128160013,-0.0036889806030368996,-0.12112699071804556,0.06705249854165828,0.0765483178882218,-0.011597778405215703,0.005047524555227077,-0.09477658046895635
Often Do Word Games,1,-0.09600588558698184,-0.10809756199989065,0.030715731918273367,-0.0010753459918300583,0.17089696621404377,-0.10942172203921216,-0.12240538669163101,0.018786619706071546,-0.007627986695515635,0.15610857873337752,-0.08259004913475151,-0.0937897373081503,0.04264484413047519,0.005477294711855519,0.18568535369471
Often Play Cards And Games,0,0.017540723026771926,-0.02116123802536131,0.01532007267652653,0.014522875116173593,-0.03020628833738879,0.010637714303752351,-0.025766919257460174,0.010822700772297394,0.010733501524538424,-0.036771757165081784,0.024443731749791503,-0.016555556793262444,0.019817444580755666,0.018312248707808763,-0.023640819509695793
Often Play Cards And Games,1,-0.07059318401394937,0.08516405895055222,-0.06165610778475108,-0.05844776147043023,0.12156614454975084,-0.10390177756563002,0.06655540299927014,-0.08029980825075014,-0.07440376299641005,0.10100532165203929,-0.03728459046226872,0.1037727149018343,-0.043012407318752006,-0.04249175994445042,0.1421269674474624
Often Do Writing,0,0.014779595228790219,0.007691724159793738,0.009609970017973694,0.002749259856089173,-0.03433920257477766,0.010490250909005499,0.004633956796397132,0.006573270180959389,0.0008389504570087555,-0.04020511556823326,0.01906893954857494,0.010749491523190343,0.012646669854988,0.004659569255169591,-0.028473289581322066
Often Do Writing,1,-0.08213669589483981,-0.04274628624397612,-0.053406820194049666,-0.015278843381015351,0.19083801656905627,-0.11305799047978336,-0.061329925767026935,-0.07076432122240048,-0.025140659409133397,0.16905425294365248,-0.051215401309896255,-0.024162646720925298,-0.03604931916569885,-0.005417027352897305,0.21262178019446007
Often Use Computer,0,0.369199614914837,0.19908801494345355,-0.06985290864742576,-0.17848650404350191,-0.35157797082714876,0.3400946894050254,0.18126511685688929,-0.08293810353168599,-0.19625535273754785,-0.40043188800899077,0.3983045404246486,0.2169109130300178,-0.056767713763165535,-0.16071765534945598,-0.30272405364530675
Often Use Computer,1,-0.2444295302562668,-0.13180671920122677,0.04624629321908331,0.11816743728321581,0.23276307662876153,-0.2794628724693017,-0.1484108662681685,0.03827782048794422,0.10944434336726942,0.21521673398917612,-0.2093961880432319,-0.11520257213428507,0.0542147659502224,0.1268905311991622,0.25030941926834693
Often Maintenance/Gardening,0,0.07495393911934113,-0.024780866825571898,-0.018509398381266817,-0.02202353449327023,0.004380133872875154,0.06793528935909349,-0.029639152439530973,-0.025251200857464427,-0.02785721872047508,-0.000858072594089019,0.08197258887958878,-0.019922581211612823,-0.011767595905069206,-0.016189850266065384,0.009618340339839326
Often Maintenance/Gardening,1,-0.059854746838068906,0.019788853363808968,0.014780748913966166,0.017586975375307737,-0.0034977721939385246,-0.06748803943282472,0.015715275020935435,0.009317209439837937,0.01352668117702532,-0.0071897010714976495,-0.05222145424331309,0.0238624317066825,0.020244288388094396,0.021647269573590155,0.00019415668362060068
Often Bake Or Cook,0,-0.004364437590306143,0.0196635588171181,0.00961737838156232,-0.03322298361277737,0.010574860410983968,-0.01316673923293951,0.013745876593172366,0.002209799402664887,-0.04241217135021639,-0.0017403112088774236,0.004437864052327224,0.025581241041063834,0.017024957360459753,-0.024033795875338347,0.02289003203084536
Often Bake Or Cook,1,0.006663843751817218,-0.030023314768662178,-0.014684299067349145,0.050726529405866166,-0.016146230990355784,-0.009030929021703625,-0.039497646400340015,-0.026215064624476644,0.03842085735757449,-0.03316329617371677,0.022358616525338063,-0.02054898313698434,-0.003153533510221646,0.06303220145415785,0.0008708341930052065
Often Sew Or Knit,0,0.008146909248577392,0.007342493407004211,0.004141401386384601,-0.008561007004428103,-0.007113784340254427,0.00659502844821256,0.005947643891817305,0.0027146857181803213,-0.011047996699298481,-0.01009092937488871,0.009698790048942224,0.008737342922191117,0.00556811705458888,-0.006074017309557724,-0.004136639305620143
Often Sew Or Knit,1,-0.1344035329802994,-0.12113269273967248,-0.06832271734422433,0.1412351055052134,0.1173595677841974,-0.17034667400325607,-0.14880635218420812,-0.09470454215900437,0.10409116051011567,0.07747033341846493,-0.09846039195734271,-0.09345903329513684,-0.04194089252944431,0.1783790505003111,0.15724880214992987
Often Do Hobby,0,0.015549171985207898,-0.0012908296098313246,0.0071488834833018725,-0.024559692549815017,0.007523524418159915,0.009526927039434172,-0.006405483600566364,0.0032052293444965055,-0.02968193717190212,0.0009911819125445016,0.021571416930981625,0.003823824380903715,0.01109253762210724,-0.019437447927727915,0.014055866923775327
Often Do Hobby,1,-0.04211027088219775,0.003495825024282278,-0.019360607772137016,0.06651256459444045,-0.020375210431715297,-0.06263113669457646,-0.011104874800609293,-0.030015253609489513,0.055110653568301506,-0.03531054656838156,-0.021589405069819045,0.01809652484917385,-0.008705961934784517,0.07791447562057939,-0.005439874295049029
Often Play Sport/Exercise,0,0.034344054287564645,-0.03148381722300777,0.012319933587416508,0.006960562083338564,-0.024437304675869916,0.02394606338655687,-0.04126803703144259,0.0070505251391059995,-0.0031130180232225,-0.035605972102681745,0.044742045188572416,-0.021699597414572946,0.017589342035727016,0.01703414218989963,-0.013268637249058086
Often Play Sport/Exercise,1,-0.05119671611966002,0.04693295786319612,-0.01836533733632046,-0.010376116868152766,0.03642871455258433,-0.07331129588634254,0.03166906951401725,-0.026272477362704105,-0.024066298596387724,0.023160166668872037,-0.0290821363529775,0.06219684621237499,-0.010458197309936816,0.0033140648600821915,0.04969726243629663
Often Walk For 20 Mins,0,-0.04775974739316894,-0.0042793635454918665,0.004107474195187654,0.014959027273647289,0.02972111948904133,-0.06918316365858948,-0.015188522002147575,-0.0035417965715442,0.002599431834150061,0.0168012859273867,-0.026336331127748407,0.006629794911163842,0.011756744961919509,0.027318622713144516,0.04264095305069596
Often Walk For 20 Mins,1,0.040980615692751146,0.0036719405449044404,-0.003524449576233591,-0.012835707500546873,-0.025502433371600033,0.019746269301350806,-0.00616862012189535,-0.010021854518240475,-0.022753077743194867,-0.0352471108718998,0.06221496208415149,0.01351250121170423,0.002972955365773294,-0.0029183372578988793,-0.015757755871300263
Self Ongoing Health Problems,0,-0.017548218828421988,-0.07909697711227427,-0.005358275804552751,0.013548953672787963,0.09232115146468928,-0.040052612837019635,-0.09959657205186137,-0.01494208604823134,-0.00456581403844801,0.07339436383992687,0.004956175180175659,-0.05859738217268717,0.0042255344391258385,0.031663721384023936,0.11124793908945169
Self Ongoing Health Problems,1,0.007179785202563589,0.03236221928794387,0.0021923176197502347,-0.005543501482472129,-0.03777283857984656,-0.000734339753875826,0.02485717366681454,-0.0017525361961692664,-0.01329547630472488,-0.04705421196313595,0.015093910159003004,0.03986726490907319,0.006137171435669736,0.002208473339780621,-0.028491465196557174
Ongoing Phy/Emot Problems In Sp/Chld,0,-0.011510024008296777,0.05316513640173063,-0.0020591493294198323,-0.020117277344323125,-0.020904092855781917,-0.01982568197957557,0.045961418786457355,-0.008127692838664822,-0.02792582976523154,-0.029504058817835133,-0.0031943660370179847,0.060368854017003905,0.004009394179825158,-0.01230872492341471,-0.012304126893728699
Ongoing Phy/Emot Problems In Sp/Chld,1,0.014616379901018328,-0.06751348481784307,0.0026148780271902433,0.02554658166019651,0.026545745034591377,0.004778020379861057,-0.07653138329604942,-0.005125268076996822,0.01563099806301097,0.015500956270700396,0.0244547394221756,-0.05849558633963672,0.01035502413137731,0.03546216525738205,0.03759053379848236
Ongoing Drug/Alcohol Probs Fam Mbr,0,-0.0016708744777676051,0.0006173357631379928,-0.01955936447259468,0.008084918433946561,0.019428402555915145,-0.006906439917776377,-0.0033280964350270274,-0.026594572721203996,0.003501374546263567,0.012240411770395908,0.0035646909622411667,0.0045627679613030134,-0.012524156223985367,0.012668462321629555,0.026616393341434383
Ongoing Drug/Alcohol Probs Fam Mbr,1,0.007405545072289806,-0.0027361168534711967,0.0866897885595031,-0.035833468441251445,-0.08610934736560831,-0.015425840618620335,-0.020372330532716115,0.0587978445181668,-0.05663408014508469,-0.12092503313879766,0.030236930763199946,0.014900096825773722,0.1145817326008394,-0.0150328567374182,-0.051293661592418965
Ongoing Difficulties At Work,0,0.025508834900792067,0.010165144608557247,-0.00552430867932262,-0.005416539478488526,-0.02093185122698459,0.022362158699438653,0.007117402739363491,-0.008782272298991907,-0.007569997097309002,-0.028336401829302582,0.02865551110214548,0.013212886477751004,-0.002266345059653334,-0.0032630818596680504,-0.013527300624666595
Ongoing Difficulties At Work,1,-0.17056569738300037,-0.06796958723911678,0.0369384790058901,0.0362178765570458,0.13996153944047754,-0.19450559107709553,-0.09126313008426706,0.015231141617025608,0.02209985115944519,0.09638871492119436,-0.1466258036889052,-0.04467604439396649,0.05864581639475459,0.05033590195464641,0.18353436395976072
Ongoing Financial Strain,0,0.011351722358707673,0.02759799718092207,-0.026389804538464973,0.008130193601135725,-0.018027795409892695,0.0021543965772634725,0.020769090291569335,-0.030388302492571413,0.0018446485406545601,-0.024617892792983632,0.020549048140151873,0.03442690407027481,-0.022391306584358533,0.01441573866161689,-0.011437698026801758
Ongoing Financial Strain,1,-0.015518907996846453,-0.03772914502436049,0.03607742823035558,-0.011114765011477868,0.024645748857439975,-0.02709230302396178,-0.047059762118277185,0.030642204045019578,-0.020023957255223993,0.014960437074170132,-0.003945512969731127,-0.028398527930443798,0.041512652415691575,-0.002205572767731742,0.034331060640709815
Ongoing Housing Problems,0,-0.02896181572266878,-0.03399859678930088,0.023192307408892665,0.006999822152725805,0.03815696946813491,-0.03415119801600173,-0.0380971668328614,0.01708760413143209,0.0043580850176535985,0.03541932421817668,-0.023772433429335837,-0.02990002674574036,0.02929701068635324,0.009641559287798012,0.04089461471809314
Ongoing Housing Problems,1,0.1339542462261724,0.1572503757799167,-0.1072691051884648,-0.032375590990717254,-0.17648368915552543,0.11510676143658735,0.14031097402012702,-0.13742074492888023,-0.04548985852701345,-0.1964918501220092,0.15280173101575747,0.1741897775397064,-0.07711746544804937,-0.01926132345442106,-0.15647552818904165
