,1,2,3,4,5
Education (0),0.0,0.028,0.067,0.0,0.001
Education (1),0.0,0.089,0.001,0.0,0.0
Education (2),0.0,0.046,0.002,0.0,0.0
Education (3),0.0,0.046,0.002,0.0,0.0
Education (5),0.0,0.019,0.079,0.022,0.0
Education (6),0.0,0.005,0.239,0.0,0.0
Education (7),0.0,0.006,0.243,0.0,0.0
Education (8),0.0,0.0,0.36,0.0,0.0
Education (9),0.0,0.0,0.465,0.01,0.0
Education (10),0.0,0.0,0.034,0.0,0.0
Education (11),0.0,0.0,0.036,0.0,0.0
Education (12),0.0,0.0,0.0,0.38,0.0
Education (13),0.001,0.713,0.08,0.097,0.0
Education (14),0.0,0.87,0.156,0.008,0.0
Education (15),0.0,0.329,0.624,0.002,0.0
Education (16),0.0,0.0,0.059,0.0,0.0
Education (17),0.0,0.0,0.0,0.002,0.0
Education (17),0.0,0.0,0.0,0.002,0.0
Age (60),0.0,0.002,0.797,0.0,0.0
Age (61),0.0,0.002,0.797,0.0,0.0
Age (62),0.0,0.004,0.04,0.0,0.0
Age (63),0.0,0.001,0.048,0.0,0.0
Age (64),0.0,0.001,0.048,0.0,0.0
Age (65),0.0,0.001,0.048,0.0,0.0
Age (66),0.0,0.001,0.048,0.0,0.0
Age (67),0.0,0.011,0.014,0.0,0.0
Age (68),0.0,0.011,0.014,0.0,0.0
Age (69),0.0,0.0,0.013,0.0,0.0
Age (70),0.0,0.0,0.013,0.0,0.0
Age (71),0.0,0.001,0.003,0.0,0.0
Age (72),0.002,0.722,0.011,0.003,0.0
Age (73),0.001,0.526,0.002,0.06,0.0
Age (74),0.653,0.002,0.978,0.451,0.963
Age (75),0.0,0.0,0.427,0.002,0.055
Age (76),0.0,0.0,0.779,0.0,0.025
Age (77),0.0,0.0,0.779,0.0,0.025
Age (78),0.0,0.0,0.643,0.0,0.025
Age (79),0.0,0.0,0.188,0.002,0.0
Age (80),0.0,0.0,0.001,0.0,0.0
Age (81),0.0,0.0,0.0,0.0,0.0
Age (82),0.0,0.0,0.083,0.0,0.0
Age (83),0.0,0.0,0.118,0.0,0.0
Age (84),0.0,0.0,0.0,0.0,0.0
Age (85),0.0,0.0,0.0,0.0,0.0
Age (86),0.0,0.0,0.0,0.0,0.0
Age (87),0.0,0.001,0.0,0.0,0.0
Age (88),0.0,0.001,0.0,0.0,0.0
Age (89),0.0,0.0,0.0,0.0,0.0
Age (90),0.0,0.0,0.0,0.0,0.0
Age (91),0.0,0.018,0.0,0.002,0.0
Age (92),0.0,0.018,0.0,0.002,0.0
Age (93),0.0,0.036,0.001,0.001,0.0
Age (94),0.0,0.124,0.002,0.002,0.001
Age (95),0.0,0.039,0.002,0.002,0.0
Age (96),0.0,0.039,0.002,0.002,0.0
Age (99),0.0,0.039,0.002,0.002,0.0
Often Care Adult,0.003,0.025,0.137,0.605,0.312
Often Do Activities With Grandchildren,0.0,0.0,0.114,0.063,0.744
Often Volunteer Youth,0.136,0.187,0.156,0.0,0.014
Often Charity Work,0.0,0.131,0.004,0.119,0.161
Often Education,0.212,0.351,0.023,0.001,0.081
Often Attend Sports/Social/Club,0.001,0.337,0.0,0.729,0.893
Often Attend Non Religious Orgs,0.0,0.086,0.069,0.017,0.023
Often Pray Privately,0.122,0.121,0.039,0.001,0.176
Often Read,0.0,0.931,0.019,0.0,0.121
Often Watch Television,0.03,0.003,0.001,0.0,0.0
Often Do Word Games,0.0,0.0,0.034,0.209,0.0
Often Play Cards And Games,0.0,0.0,0.001,0.0,0.0
Often Do Writing,0.285,0.651,0.19,0.611,0.0
Often Use Computer,0.0,0.0,0.0,0.0,0.0
Often Maintenance/Gardening,0.003,0.0,0.038,0.058,0.496
Often Bake Or Cook,0.117,0.23,0.077,0.001,0.293
Often Sew Or Knit,0.003,0.034,0.111,0.0,0.0
Often Do Hobby,0.401,0.31,0.097,0.023,0.0
Often Play Sport/Exercise,0.0,0.001,0.015,0.114,0.19
Often Walk For 20 Mins,0.002,0.601,0.957,0.815,0.0
Difficulty Paying Bills,0.251,0.136,0.774,0.021,0.883
Self Ongoing Health Problems,0.109,0.0,0.375,0.272,0.0
Ongoing Phy/Emot Problems In Sp/Chld,0.006,0.0,0.757,0.012,0.053
Ongoing Drug/Alcohol Probs Fam Mbr,0.782,0.744,0.0,0.073,0.0
Ongoing Difficulties At Work,0.09,0.178,0.428,0.185,0.224
Ongoing Financial Strain,0.563,0.0,0.001,0.007,0.142
Ongoing Housing Problems,0.0,0.0,0.0,0.478,0.0
Ongoing Problems Close Relationship,0.112,0.105,0.48,0.029,0.18
Reg Help Ailing Friend/Fam,0.97,0.0,0.001,0.0,0.034
Drink,0.0,0.0,0.0,0.0,0.0
Smoke,0.0,0.369,0.81,0.342,0.0
Vigourious Activities,0.0,0.001,0.977,0.045,0.001
Moderate Activities,0.0,0.055,0.0,0.105,0.0
Mild Activities,0.0,0.0,0.511,0.0,0.0
