,1,2,3,4,5
Often Care Adult (0.0),0.029,0.361,0.051,0.297,0.001
Often Care Adult (1.0),0.053,0.379,0.067,0.253,0.0
Often Do Activities With Grandchildren (0.0),0.0,0.001,0.323,0.086,0.318
Often Do Activities With Grandchildren (1.0),0.001,0.0,0.337,0.085,0.28
Often Volunteer Youth (0.0),0.082,0.087,0.018,0.0,0.18
Often Volunteer Youth (1.0),0.175,0.108,0.025,0.0,0.135
Often Charity Work (0.0),0.0,0.645,0.001,0.066,0.252
Often Charity Work (1.0),0.0,0.672,0.0,0.044,0.164
Often Education (0.0),0.031,0.331,0.071,0.032,0.26
Often Education (1.0),0.112,0.4,0.085,0.022,0.148
Often Attend Sports/Social/Club (0.0),0.0,0.037,0.001,0.652,0.454
Often Attend Sports/Social/Club (1.0),0.01,0.065,0.001,0.629,0.355
Often Attend Non Religious Orgs (0.0),0.0,0.368,0.047,0.004,0.015
Often Attend Non Religious Orgs (1.0),0.0,0.413,0.078,0.004,0.002
Often Pray Privately (0.0),0.039,0.14,0.006,0.0,0.057
Often Pray Privately (1.0),0.057,0.143,0.009,0.0,0.04
Often Read (0.0),0.0,0.95,0.001,0.0,0.004
Often Read (1.0),0.0,0.953,0.001,0.0,0.0
Often Watch Television (0.0),0.061,0.001,0.0,0.053,0.019
Often Watch Television (1.0),0.032,0.004,0.002,0.019,0.004
Often Do Word Games (0.0),0.0,0.0,0.021,0.672,0.0
Often Do Word Games (1.0),0.0,0.0,0.015,0.651,0.0
Often Play Cards And Games (0.0),0.001,0.0,0.002,0.003,0.0
Often Play Cards And Games (1.0),0.009,0.0,0.003,0.005,0.0
Often Do Writing (0.0),0.097,0.198,0.011,0.06,0.0
Often Do Writing (1.0),0.201,0.244,0.014,0.041,0.0
Often Use Computer (0.0),0.0,0.0,0.0,0.0,0.0
Often Use Computer (1.0),0.0,0.0,0.0,0.0,0.0
Often Maintenance/Gardening (0.0),0.0,0.0,0.02,0.071,0.493
Often Maintenance/Gardening (1.0),0.0,0.0,0.023,0.039,0.439
Often Bake Or Cook (0.0),0.204,0.008,0.162,0.001,0.292
Often Bake Or Cook (1.0),0.275,0.013,0.169,0.0,0.242
Often Sew Or Knit (0.0),0.0,0.0,0.002,0.003,0.002
Often Sew Or Knit (1.0),0.003,0.0,0.006,0.001,0.0
Often Do Hobby (0.0),0.302,0.241,0.124,0.001,0.014
Often Do Hobby (1.0),0.442,0.272,0.124,0.0,0.003
Often Play Sport/Exercise (0.0),0.003,0.001,0.107,0.607,0.451
Often Play Sport/Exercise (1.0),0.041,0.001,0.106,0.572,0.339
Often Walk For 20 Mins (0.0),0.024,0.6,0.829,0.148,0.036
Often Walk For 20 Mins (1.0),0.045,0.618,0.828,0.12,0.019
Self Ongoing Health Problems (0.0),0.313,0.002,0.293,0.983,0.0
Self Ongoing Health Problems (1.0),0.244,0.0,0.296,0.984,0.001
Ongoing Phy/Emot Problems In Sp/Chld (0.0),0.129,0.0,0.929,0.029,0.009
Ongoing Phy/Emot Problems In Sp/Chld (1.0),0.104,0.0,0.929,0.027,0.008
Ongoing Drug/Alcohol Probs Fam Mbr (0.0),0.407,0.863,0.016,0.072,0.028
Ongoing Drug/Alcohol Probs Fam Mbr (1.0),0.392,0.864,0.007,0.078,0.05
Ongoing Difficulties At Work (0.0),0.0,0.124,0.071,0.72,0.118
Ongoing Difficulties At Work (1.0),0.0,0.163,0.071,0.712,0.076
Ongoing Financial Strain (0.0),0.533,0.016,0.0,0.012,0.026
Ongoing Financial Strain (1.0),0.501,0.014,0.0,0.016,0.035
Ongoing Housing Problems (0.0),0.0,0.0,0.0,0.013,0.0
Ongoing Housing Problems (1.0),0.0,0.0,0.0,0.022,0.0
Ongoing Problems Close Relationship (0.0),0.014,0.074,0.143,0.005,0.178
Ongoing Problems Close Relationship (1.0),0.027,0.078,0.121,0.005,0.148
Reg Help Ailing Friend/Fam (0.0),0.07,0.0,0.019,0.0,0.0
Reg Help Ailing Friend/Fam (1.0),0.099,0.0,0.024,0.0,0.0
Difficulty Paying Bills (0.0),0.5,0.14,0.351,0.064,0.096
Difficulty Paying Bills (1.0),0.46,0.1,0.348,0.082,0.144
Often Vigorous Activity (0.0),0.0,0.0,0.097,0.321,0.057
Often Vigorous Activity (1.0),0.0,0.0,0.097,0.283,0.015
Often Moderate Activity (0.0),0.0,0.039,0.162,0.319,0.0
Often Moderate Activity (1.0),0.005,0.062,0.148,0.251,0.0
Often Mild Activity (0.0),0.0,0.0,0.775,0.0,0.0
Often Mild Activity (1.0),0.0,0.0,0.769,0.0,0.0
Drink Alcohol (0.0),0.0,0.0,0.002,0.005,0.0
Drink Alcohol (1.0),0.0,0.0,0.001,0.002,0.0
Education (0.0),0.0,0.164,0.2,0.001,0.0
Education (0.5),0.0,0.456,0.102,0.002,0.0
Education (1.5),0.0,0.273,0.147,0.005,0.0
Education (2.5),0.0,0.273,0.147,0.005,0.0
Education (4.5),0.0,0.018,0.343,0.012,0.0
Education (5.5),0.0,0.007,0.417,0.0,0.0
Education (6.5),0.0,0.017,0.412,0.0,0.0
Education (7.5),0.0,0.003,0.365,0.0,0.0
Education (8.5),0.0,0.006,0.0,0.0,0.0
Education (9.5),0.0,0.009,0.0,0.001,0.0
Education (10.5),0.0,0.038,0.011,0.001,0.0
Education (11.5),0.0,0.0,0.0,0.257,0.0
Education (12.5),0.0,0.985,0.018,0.001,0.0
Education (13.5),0.0,0.97,0.037,0.07,0.0
Education (14.5),0.0,0.827,0.407,0.188,0.0
Education (15.5),0.0,0.0,0.011,0.0,0.0
Education (16.5),0.0,0.0,0.0,0.0,0.0
Education (17.0),0.0,0.0,0.0,0.0,0.0
Smoking (0.0),0.009,0.903,0.473,0.38,0.0
Smoking (1.0),0.001,0.9,0.486,0.401,0.0
Age (60.0),0.0,0.001,0.719,0.0,0.0
Age (60.5),0.0,0.001,0.719,0.0,0.0
Age (61.5),0.0,0.002,0.558,0.0,0.0
Age (62.5),0.0,0.002,0.558,0.0,0.0
Age (63.5),0.0,0.002,0.558,0.0,0.0
Age (64.5),0.0,0.002,0.549,0.0,0.0
Age (65.5),0.0,0.002,0.549,0.0,0.0
Age (66.5),0.0,0.0,0.057,0.0,0.0
Age (67.5),0.0,0.0,0.067,0.0,0.0
Age (68.5),0.0,0.034,0.041,0.0,0.0
Age (69.5),0.0,0.038,0.029,0.0,0.0
Age (70.5),0.001,0.655,0.014,0.003,0.0
Age (71.5),0.0,0.614,0.014,0.035,0.0
Age (72.5),0.0,0.618,0.037,0.274,0.0
Age (73.5),0.55,0.039,0.309,0.967,0.554
Age (74.5),0.021,0.0,0.732,0.0,0.017
Age (75.5),0.003,0.0,0.94,0.008,0.003
Age (76.5),0.003,0.0,0.94,0.008,0.003
Age (77.5),0.002,0.0,0.994,0.001,0.003
Age (78.5),0.0,0.0,0.542,0.0,0.0
Age (79.5),0.0,0.0,0.206,0.003,0.0
Age (80.5),0.0,0.027,0.112,0.0,0.0
Age (81.5),0.0,0.001,0.664,0.0,0.0
Age (82.5),0.0,0.001,0.664,0.0,0.0
Age (83.5),0.0,0.0,0.0,0.0,0.0
Age (84.5),0.0,0.0,0.0,0.0,0.0
Age (85.5),0.0,0.0,0.0,0.0,0.0
Age (86.5),0.0,0.0,0.0,0.0,0.0
Age (87.5),0.0,0.0,0.0,0.0,0.0
Age (88.5),0.0,0.0,0.0,0.0,0.0
Age (89.5),0.0,0.0,0.0,0.0,0.0
Age (90.5),0.0,0.046,0.0,0.0,0.0
Age (91.5),0.0,0.046,0.0,0.0,0.0
Age (92.5),0.0,0.047,0.0,0.0,0.0
Age (93.5),0.0,0.116,0.002,0.001,0.0
Age (94.5),0.0,0.0,0.006,0.003,0.001
Age (96.0),0.0,0.0,0.006,0.003,0.001
Age (99.0),0.0,0.0,0.006,0.003,0.001
