,1,2,3,4,5
Often Care Adult (0.0),0.018,0.535,0.029,0.096,0.0
Often Care Adult (1.0),0.039,0.549,0.041,0.072,0.0
Often Do Activities With Grandchildren (0.0),0.0,0.001,0.714,0.554,0.087
Often Do Activities With Grandchildren (1.0),0.0,0.0,0.72,0.555,0.062
Often Volunteer Youth (0.0),0.0,0.175,0.015,0.0,0.461
Often Volunteer Youth (1.0),0.0,0.203,0.019,0.0,0.42
Often Charity Work (0.0),0.0,0.956,0.0,0.04,0.091
Often Charity Work (1.0),0.0,0.958,0.0,0.025,0.043
Often Education (0.0),0.0,0.073,0.048,0.008,0.058
Often Education (1.0),0.0,0.115,0.059,0.005,0.013
Often Attend Sports/Social/Club (0.0),0.0,0.033,0.002,0.963,0.061
Often Attend Sports/Social/Club (1.0),0.012,0.058,0.001,0.959,0.024
Often Attend Non Religious Orgs (0.0),0.007,0.39,0.059,0.021,0.002
Often Attend Non Religious Orgs (1.0),0.01,0.43,0.087,0.018,0.0
Often Pray Privately (0.0),0.021,0.178,0.03,0.0,0.161
Often Pray Privately (1.0),0.035,0.185,0.04,0.0,0.143
Often Read (0.0),0.0,0.952,0.0,0.0,0.0
Often Read (1.0),0.0,0.955,0.0,0.0,0.0
Often Watch Television (0.0),0.039,0.037,0.0,0.065,0.019
Often Watch Television (1.0),0.025,0.051,0.001,0.029,0.006
Often Do Word Games (0.0),0.0,0.0,0.013,0.876,0.0
Often Do Word Games (1.0),0.0,0.0,0.01,0.87,0.0
Often Play Cards And Games (0.0),0.011,0.0,0.001,0.0,0.0
Often Play Cards And Games (1.0),0.034,0.0,0.001,0.0,0.0
Often Do Writing (0.0),0.001,0.012,0.002,0.15,0.0
Often Do Writing (1.0),0.008,0.021,0.002,0.121,0.0
Often Use Computer (0.0),0.0,0.0,0.0,0.0,0.0
Often Use Computer (1.0),0.0,0.0,0.0,0.0,0.0
Often Maintenance/Gardening (0.0),0.0,0.0,0.006,0.0,0.403
Often Maintenance/Gardening (1.0),0.0,0.0,0.007,0.0,0.344
Often Bake Or Cook (0.0),0.62,0.001,0.194,0.0,0.39
Often Bake Or Cook (1.0),0.671,0.002,0.203,0.0,0.343
Often Sew Or Knit (0.0),0.0,0.0,0.004,0.001,0.017
Often Sew Or Knit (1.0),0.0,0.0,0.01,0.0,0.003
Often Do Hobby (0.0),0.01,0.801,0.07,0.0,0.249
Often Do Hobby (1.0),0.04,0.811,0.069,0.0,0.173
Often Play Sport/Exercise (0.0),0.001,0.001,0.019,0.49,0.029
Often Play Sport/Exercise (1.0),0.021,0.002,0.02,0.448,0.006
Often Walk For 20 Mins (0.0),0.026,0.695,0.591,0.226,0.021
Often Walk For 20 Mins (1.0),0.054,0.709,0.588,0.196,0.009
Self Ongoing Health Problems (0.0),0.435,0.0,0.576,0.454,0.0
Self Ongoing Health Problems (1.0),0.364,0.0,0.578,0.475,0.0
Ongoing Phy/Emot Problems In Sp/Chld (0.0),0.166,0.0,0.735,0.01,0.015
Ongoing Phy/Emot Problems In Sp/Chld (1.0),0.137,0.0,0.735,0.01,0.016
Ongoing Drug/Alcohol Probs Fam Mbr (0.0),0.75,0.876,0.005,0.078,0.007
Ongoing Drug/Alcohol Probs Fam Mbr (1.0),0.746,0.877,0.002,0.085,0.013
Ongoing Difficulties At Work (0.0),0.0,0.001,0.09,0.012,0.005
Ongoing Difficulties At Work (1.0),0.0,0.004,0.089,0.01,0.001
Ongoing Financial Strain (0.0),0.217,0.0,0.0,0.196,0.006
Ongoing Financial Strain (1.0),0.18,0.0,0.0,0.212,0.011
Ongoing Housing Problems (0.0),0.0,0.0,0.0,0.008,0.0
Ongoing Housing Problems (1.0),0.0,0.0,0.0,0.014,0.0
Ongoing Problems Close Relationship (0.0),0.0,0.187,0.115,0.074,0.007
Ongoing Problems Close Relationship (1.0),0.002,0.185,0.098,0.068,0.003
Reg Help Ailing Friend/Fam (0.0),0.008,0.0,0.027,0.0,0.0
Reg Help Ailing Friend/Fam (1.0),0.014,0.0,0.032,0.0,0.0
Difficulty Paying Bills (0.0),0.644,0.082,0.104,0.137,0.105
Difficulty Paying Bills (1.0),0.615,0.057,0.105,0.16,0.151
Often Vigorous Activity (0.0),0.0,0.002,0.345,0.638,0.0
Often Vigorous Activity (1.0),0.0,0.003,0.339,0.611,0.0
Often Moderate Activity (0.0),0.0,0.003,0.154,0.101,0.0
Often Moderate Activity (1.0),0.0,0.006,0.144,0.062,0.0
Often Mild Activity (0.0),0.0,0.0,0.623,0.0,0.0
Often Mild Activity (1.0),0.0,0.0,0.616,0.0,0.0
Drink Alcohol (0.0),0.0,0.0,0.0,0.0,0.0
Drink Alcohol (1.0),0.0,0.0,0.0,0.0,0.0
Smoking (0.0),0.055,0.685,0.985,0.486,0.028
Smoking (1.0),0.03,0.676,0.986,0.502,0.064
