,1,2,3,4,5
Often Care Adult (0.0),2.36,-0.62,2.182,-1.663,-3.656
Often Care Adult (1.0),-2.069,0.6,-2.043,1.802,4.01
Often Do Activities With Grandchildren (0.0),5.086,-3.247,0.367,0.592,-1.714
Often Do Activities With Grandchildren (1.0),-4.236,3.625,-0.358,-0.59,1.866
Often Volunteer Youth (0.0),5.283,1.357,2.433,-3.735,0.738
Often Volunteer Youth (1.0),-4.054,-1.274,-2.347,4.576,-0.807
Often Charity Work (0.0),11.012,0.055,-3.584,2.049,-1.69
Often Charity Work (1.0),-7.27,-0.053,3.973,-2.245,2.028
Often Education (0.0),5.274,1.794,1.981,-2.659,-1.897
Often Education (1.0),-3.932,-1.576,-1.887,2.808,2.472
Often Attend Sports/Social/Club (0.0),3.673,2.138,-3.065,-0.047,-1.872
Often Attend Sports/Social/Club (1.0),-2.513,-1.897,3.201,0.051,2.263
Often Attend Non Religious Orgs (0.0),-2.71,0.859,1.886,2.303,-3.165
Often Attend Non Religious Orgs (1.0),2.575,-0.789,-1.711,-2.37,3.974
Often Pray Privately (0.0),2.316,1.348,2.176,-6.552,-1.401
Often Pray Privately (1.0),-2.103,-1.327,-2.058,7.001,1.463
Often Read (0.0),6.992,0.06,4.111,-6.06,-4.416
Often Read (1.0),-5.154,-0.057,-3.99,7.377,5.92
Often Watch Television (0.0),-2.067,2.087,3.932,-1.847,-2.34
Often Watch Television (1.0),2.242,-1.954,-3.383,2.18,2.729
Often Do Word Games (0.0),9.464,8.261,-2.486,0.156,-8.194
Often Do Word Games (1.0),-7.156,-7.555,2.575,-0.164,11.556
Often Play Cards And Games (0.0),2.541,-4.595,3.406,3.833,-4.601
Often Play Cards And Games (1.0),-2.119,4.577,-3.307,-3.663,5.913
Often Do Writing (0.0),3.446,2.515,3.165,1.439,-5.854
Often Do Writing (1.0),-2.656,-2.3,-3.077,-1.549,8.761
Often Use Computer (0.0),12.685,11.17,-5.338,-10.045,-7.197
Often Use Computer (1.0),-6.977,-7.938,5.804,13.547,13.266
Often Maintenance/Gardening (0.0),10.679,-5.101,-2.745,-3.775,0.836
Often Maintenance/Gardening (1.0),-7.841,4.858,2.705,4.331,-0.947
Often Bake Or Cook (0.0),-0.496,3.323,1.298,-3.615,0.859
Often Bake Or Cook (1.0),0.425,-3.169,-1.273,4.122,-0.949
Often Sew Or Knit (0.0),5.25,5.264,2.903,-3.442,-2.389
Often Sew Or Knit (1.0),-3.739,-4.377,-2.59,3.802,2.942
Often Do Hobby (0.0),2.582,-0.252,1.813,-4.795,1.152
Often Do Hobby (1.0),-2.052,0.239,-1.817,5.833,-1.364
Often Play Sport/Exercise (0.0),3.303,-3.218,2.338,0.691,-2.188
Often Play Sport/Exercise (1.0),-2.315,3.075,-2.323,-0.758,2.745
Often Walk For 20 Mins (0.0),-2.229,-0.392,0.537,1.21,2.3
Often Walk For 20 Mins (1.0),1.93,0.373,-0.542,-1.294,-2.617
Self Ongoing Health Problems (0.0),-0.78,-3.858,-0.559,0.748,4.878
Self Ongoing Health Problems (1.0),0.907,4.312,0.556,-0.715,-4.07
Ongoing Phy/Emot Problems In Sp/Chld (0.0),-1.384,7.38,-0.339,-2.576,-2.431
Ongoing Phy/Emot Problems In Sp/Chld (1.0),1.486,-7.487,0.338,2.576,2.403
Ongoing Drug/Alcohol Probs Fam Mbr (0.0),-0.319,0.156,-2.78,1.764,2.703
Ongoing Drug/Alcohol Probs Fam Mbr (1.0),0.324,-0.155,3.108,-1.723,-2.473
Ongoing Difficulties At Work (0.0),8.107,3.335,-1.696,-2.515,-2.827
Ongoing Difficulties At Work (1.0),-7.125,-2.918,1.702,2.565,3.212
Ongoing Financial Strain (0.0),1.234,4.041,-6.6,1.293,-2.736
Ongoing Financial Strain (1.0),-1.341,-4.044,6.638,-1.248,2.545
Ongoing Housing Problems (0.0),-5.581,-8.295,3.799,2.65,13.938
Ongoing Housing Problems (1.0),7.107,9.283,-3.558,-2.469,-8.821
Ongoing Problems Close Relationship (0.0),3.528,-1.321,-1.574,1.784,-2.706
Ongoing Problems Close Relationship (1.0),-3.155,1.326,1.654,-1.826,2.949
Reg Help Ailing Friend/Fam (0.0),2.659,5.003,2.21,-4.384,-4.652
Reg Help Ailing Friend/Fam (1.0),-2.469,-4.426,-2.15,4.81,5.131
Difficulty Paying Bills (0.0),0.462,-1.737,-1.624,1.487,1.622
Difficulty Paying Bills (1.0),-0.503,1.906,1.622,-1.405,-1.437
Often Vigorous Activity (0.0),13.973,-3.144,-0.944,0.471,-3.926
Often Vigorous Activity (1.0),-9.344,2.977,0.956,-0.509,4.932
Often Moderate Activity (0.0),5.71,2.994,-1.424,-1.64,-6.721
Often Moderate Activity (1.0),-3.896,-2.754,1.462,1.867,8.948
Often Mild Activity (0.0),16.348,6.281,-0.492,-11.299,-6.358
Often Mild Activity (1.0),-10.574,-5.65,0.501,15.278,8.862
Drink Alcohol (0.0),9.68,9.081,-3.503,-3.64,-8.259
Drink Alcohol (1.0),-6.848,-7.737,3.802,3.975,11.647
Smoking (0.0),-1.92,0.405,-0.019,-0.697,2.193
Smoking (1.0),2.169,-0.418,0.018,0.671,-1.853
