,1,2,3,4,5,6,7,8,9
Education (0),0.0,0.0,0.873,0.0,0.0,0.0,0.0,0.0,0.01
Education (1),0.0,0.0,0.873,0.0,0.0,0.0,0.0,0.0,0.01
Education (2),0.0,0.0,0.356,0.02,0.003,0.0,0.0,0.0,0.009
Education (3),0.0,0.0,0.356,0.02,0.003,0.0,0.0,0.0,0.009
Education (5),0.0,0.0,0.134,0.268,0.108,0.0,0.03,0.0,0.0
Education (6),0.0,0.0,0.017,0.431,0.09,0.0,0.0,0.0,0.0
Education (7),0.0,0.0,0.017,0.431,0.09,0.0,0.0,0.0,0.0
Education (8),0.0,0.0,0.017,0.431,0.09,0.0,0.0,0.0,0.0
Education (9),0.0,0.0,0.008,0.68,0.553,0.005,0.0,0.0,0.0
Education (10),0.0,0.0,0.0,0.055,0.003,0.003,0.0,0.0,0.0
Education (11),0.0,0.0,0.0,0.051,0.002,0.004,0.0,0.0,0.0
Education (12),0.0,0.0,0.0,0.0,0.0,0.535,0.122,0.0,0.0
Education (13),0.0,0.0,0.311,0.03,0.579,0.008,0.034,0.0,0.0
Education (14),0.0,0.0,0.219,0.033,0.708,0.0,0.002,0.0,0.0
Education (15),0.0,0.0,0.219,0.033,0.708,0.0,0.002,0.0,0.0
Education (16),0.0,0.0,0.0,0.043,0.65,0.009,0.0,0.0,0.0
Education (17),0.0,0.0,0.0,0.862,0.012,0.094,0.0,0.0,0.0
Education (17),0.0,0.0,0.0,0.862,0.012,0.094,0.0,0.0,0.0
Age (60),0.0,0.0,0.178,0.424,0.009,0.0,0.0,0.0,0.0
Age (61),0.0,0.0,0.178,0.424,0.009,0.0,0.0,0.0,0.0
Age (62),0.0,0.0,0.172,0.49,0.008,0.0,0.0,0.0,0.0
Age (63),0.0,0.0,0.172,0.49,0.008,0.0,0.0,0.0,0.0
Age (64),0.0,0.0,0.172,0.49,0.008,0.0,0.0,0.0,0.0
Age (65),0.0,0.0,0.184,0.918,0.004,0.0,0.0,0.0,0.0
Age (66),0.0,0.0,0.184,0.918,0.004,0.0,0.0,0.0,0.0
Age (67),0.0,0.0,0.218,0.955,0.003,0.0,0.0,0.0,0.0
Age (68),0.0,0.0,0.218,0.955,0.003,0.0,0.0,0.0,0.0
Age (69),0.0,0.0,0.742,0.584,0.0,0.0,0.0,0.0,0.0
Age (70),0.0,0.0,0.643,0.566,0.0,0.0,0.0,0.0,0.0
Age (71),0.0,0.0,0.287,0.373,0.0,0.004,0.0,0.0,0.0
Age (72),0.0,0.01,0.01,0.161,0.0,0.118,0.004,0.0,0.0
Age (73),0.0,0.012,0.002,0.062,0.0,0.076,0.003,0.0,0.0
Age (74),0.059,0.312,0.0,0.032,0.018,0.609,0.31,0.021,0.104
Age (75),0.0,0.0,0.0,0.006,0.628,0.002,0.0,0.004,0.0
Age (76),0.0,0.0,0.0,0.006,0.628,0.002,0.0,0.004,0.0
Age (77),0.0,0.0,0.001,0.005,0.628,0.001,0.0,0.003,0.0
Age (78),0.0,0.0,0.0,0.019,0.784,0.0,0.002,0.0,0.0
Age (79),0.0,0.0,0.0,0.001,0.896,0.0,0.003,0.001,0.0
Age (80),0.0,0.0,0.0,0.001,0.88,0.0,0.003,0.001,0.0
Age (81),0.0,0.0,0.812,0.036,0.005,0.0,0.0,0.0,0.0
Age (82),0.0,0.0,0.834,0.022,0.011,0.0,0.0,0.0,0.0
Age (83),0.0,0.0,0.834,0.022,0.011,0.0,0.0,0.0,0.0
Age (84),0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0
Age (85),0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0
Age (86),0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0
Age (87),0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0
Age (88),0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0
Age (89),0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0
Age (90),0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0
Age (91),0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0
Age (92),0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0
Age (93),0.0,0.0,0.006,0.0,0.001,0.0,0.0,0.0,0.0
Age (94),0.0,0.0,0.006,0.0,0.001,0.0,0.0,0.0,0.0
Age (95),0.0,0.0,0.004,0.0,0.001,0.0,0.0,0.0,0.0
Age (96),0.0,0.0,0.004,0.0,0.001,0.0,0.0,0.0,0.0
Age (99),0.0,0.0,0.004,0.0,0.001,0.0,0.0,0.0,0.0
Often Care Adult,0.448,0.0,0.001,0.751,0.087,0.153,0.604,0.85,0.016
Often Do Activities With Grandchildren,0.0,0.072,0.0,0.0,0.0,0.384,0.23,0.02,0.924
Often Volunteer Youth,0.908,0.428,0.304,0.421,0.142,0.0,0.0,0.071,0.844
Often Charity Work,0.0,0.154,0.849,0.434,0.0,0.638,0.309,0.602,0.0
Often Education,0.888,0.005,0.891,0.06,0.653,0.0,0.073,0.078,0.048
Often Attend Sports/Social/Club,0.0,0.17,0.361,0.013,0.0,0.938,0.935,0.299,0.006
Often Attend Non Religious Orgs,0.0,0.348,0.124,0.0,0.254,0.0,0.827,0.0,0.637
Often Pray Privately,0.015,0.06,0.077,0.58,0.038,0.002,0.0,0.104,0.109
Often Read,0.0,0.804,0.702,0.671,0.001,0.109,0.0,0.0,0.075
Often Watch Television,0.633,0.233,0.427,0.0,0.773,0.009,0.18,0.0,0.589
Often Do Word Games,0.0,0.0,0.911,0.236,0.0,0.163,0.448,0.0,0.0
Often Play Cards And Games,0.001,0.0,0.701,0.0,0.339,0.0,0.0,0.0,0.015
Often Do Writing,0.022,0.661,0.002,0.001,0.464,0.498,0.012,0.326,0.0
Often Use Computer,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0
Often Maintenance/Gardening,0.0,0.847,0.077,0.844,0.163,0.023,0.643,0.077,0.031
Often Bake Or Cook,0.263,0.582,0.091,0.113,0.066,0.961,0.0,0.0,0.001
Often Sew Or Knit,0.009,0.0,0.109,0.0,0.065,0.091,0.0,0.0,0.019
Often Do Hobby,0.656,0.018,0.101,0.476,0.124,0.072,0.0,0.881,0.0
Often Play Sport/Exercise,0.002,0.602,0.0,0.023,0.021,0.77,0.903,0.018,0.247
Often Walk For 20 Mins,0.221,0.555,0.002,0.0,0.0,0.072,0.001,0.0,0.096
Difficulty Paying Bills,0.831,0.543,0.0,0.782,0.388,0.052,0.156,0.631,0.085
Self Ongoing Health Problems,0.0,0.017,0.0,0.648,0.195,0.736,0.804,0.087,0.0
Ongoing Phy/Emot Problems In Sp/Chld,0.516,0.212,0.03,0.822,0.235,0.0,0.0,0.515,0.326
Ongoing Drug/Alcohol Probs Fam Mbr,0.001,0.0,0.0,0.0,0.0,0.005,0.035,0.305,0.021
Ongoing Difficulties At Work,0.0,0.35,0.012,0.641,0.409,0.364,0.342,0.0,0.221
Ongoing Financial Strain,0.198,0.083,0.0,0.0,0.464,0.0,0.002,0.174,0.605
Ongoing Housing Problems,0.0,0.001,0.0,0.0,0.005,0.003,0.873,0.0,0.539
Ongoing Problems Close Relationship,0.246,0.0,0.0,0.143,0.337,0.004,0.413,0.632,0.001
Reg Help Ailing Friend/Fam,0.312,0.0,0.353,0.001,0.39,0.857,0.0,0.008,0.262
Drink,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0
Smoke,0.168,0.0,0.007,0.008,0.17,0.523,0.946,0.0,0.141
Vigourious Activities,0.007,0.008,0.039,0.152,0.167,0.37,0.913,0.147,0.0
Moderate Activities,0.001,0.151,0.0,0.0,0.969,0.442,0.287,0.001,0.0
Mild Activities,0.0,0.0,0.0,0.723,0.816,0.016,0.0,0.0,0.0
