,1,2,3,4,5,6,7,8,9
Often Care Adult (0.0),0.418,0.0,0.001,0.749,0.067,0.168,0.631,0.856,0.056
Often Care Adult (1.0),0.453,0.0,0.001,0.754,0.087,0.149,0.599,0.849,0.016
Often Do Activities With Grandchildren (0.0),0.0,0.075,0.0,0.0,0.0,0.404,0.249,0.033,0.931
Often Do Activities With Grandchildren (1.0),0.0,0.074,0.0,0.0,0.0,0.376,0.237,0.02,0.927
Often Volunteer Youth (0.0),0.895,0.36,0.209,0.376,0.116,0.0,0.005,0.073,0.875
Often Volunteer Youth (1.0),0.919,0.425,0.301,0.423,0.141,0.0,0.0,0.076,0.848
Often Charity Work (0.0),0.0,0.062,0.833,0.393,0.0,0.653,0.358,0.661,0.012
Often Charity Work (1.0),0.0,0.155,0.849,0.432,0.0,0.64,0.32,0.62,0.0
Often Education (0.0),0.828,0.0,0.878,0.024,0.631,0.0,0.062,0.148,0.171
Often Education (1.0),0.88,0.004,0.886,0.061,0.651,0.0,0.074,0.076,0.044
Often Attend Sports/Social/Club (0.0),0.0,0.102,0.319,0.003,0.0,0.943,0.936,0.375,0.053
Often Attend Sports/Social/Club (1.0),0.0,0.171,0.355,0.012,0.0,0.939,0.933,0.296,0.006
Often Attend Non Religious Orgs (0.0),0.001,0.235,0.082,0.0,0.281,0.0,0.827,0.0,0.66
Often Attend Non Religious Orgs (1.0),0.0,0.346,0.119,0.0,0.251,0.0,0.824,0.0,0.64
Often Pray Privately (0.0),0.007,0.044,0.077,0.569,0.035,0.005,0.0,0.122,0.143
Often Pray Privately (1.0),0.015,0.059,0.08,0.581,0.039,0.002,0.0,0.106,0.114
Often Read (0.0),0.0,0.773,0.699,0.674,0.0,0.167,0.0,0.0,0.19
Often Read (1.0),0.0,0.803,0.708,0.665,0.001,0.11,0.0,0.0,0.072
Often Watch Television (0.0),0.65,0.234,0.443,0.0,0.766,0.021,0.236,0.001,0.573
Often Watch Television (1.0),0.638,0.242,0.434,0.0,0.777,0.009,0.181,0.0,0.589
Often Do Word Games (0.0),0.0,0.0,0.904,0.201,0.0,0.207,0.461,0.0,0.0
Often Do Word Games (1.0),0.0,0.0,0.906,0.225,0.0,0.162,0.449,0.0,0.0
Often Play Cards And Games (0.0),0.0,0.0,0.7,0.0,0.325,0.001,0.0,0.0,0.042
Often Play Cards And Games (1.0),0.001,0.0,0.703,0.0,0.331,0.0,0.0,0.0,0.016
Often Do Writing (0.0),0.001,0.585,0.0,0.0,0.47,0.533,0.015,0.424,0.0
Often Do Writing (1.0),0.022,0.655,0.002,0.001,0.465,0.497,0.014,0.324,0.0
Often Use Computer (0.0),0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0
Often Use Computer (1.0),0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0
Often Maintenance/Gardening (0.0),0.0,0.812,0.088,0.846,0.164,0.042,0.683,0.12,0.086
Often Maintenance/Gardening (1.0),0.0,0.836,0.078,0.847,0.16,0.022,0.645,0.08,0.031
Often Bake Or Cook (0.0),0.158,0.548,0.073,0.095,0.056,0.96,0.001,0.0,0.003
Often Bake Or Cook (1.0),0.265,0.586,0.094,0.108,0.064,0.957,0.0,0.0,0.001
Often Sew Or Knit (0.0),0.0,0.0,0.118,0.0,0.067,0.149,0.0,0.0,0.074
Often Sew Or Knit (1.0),0.011,0.0,0.109,0.0,0.064,0.093,0.0,0.0,0.022
Often Do Hobby (0.0),0.586,0.004,0.095,0.475,0.099,0.109,0.0,0.915,0.001
Often Do Hobby (1.0),0.691,0.019,0.099,0.479,0.119,0.072,0.0,0.898,0.0
Often Play Sport/Exercise (0.0),0.0,0.518,0.0,0.014,0.025,0.793,0.916,0.05,0.441
Often Play Sport/Exercise (1.0),0.002,0.587,0.0,0.023,0.02,0.775,0.909,0.018,0.242
Often Walk For 20 Mins (0.0),0.133,0.505,0.003,0.0,0.0,0.101,0.001,0.0,0.246
Often Walk For 20 Mins (1.0),0.227,0.551,0.002,0.0,0.0,0.073,0.001,0.0,0.098
Self Ongoing Health Problems (0.0),0.0,0.039,0.002,0.643,0.209,0.735,0.799,0.052,0.0
Self Ongoing Health Problems (1.0),0.0,0.016,0.0,0.646,0.196,0.749,0.807,0.084,0.0
Ongoing Phy/Emot Problems In Sp/Chld (0.0),0.533,0.202,0.029,0.826,0.238,0.0,0.001,0.508,0.314
Ongoing Phy/Emot Problems In Sp/Chld (1.0),0.517,0.213,0.029,0.824,0.232,0.0,0.0,0.517,0.322
Ongoing Drug/Alcohol Probs Fam Mbr (0.0),0.003,0.0,0.002,0.0,0.001,0.002,0.027,0.294,0.008
Ongoing Drug/Alcohol Probs Fam Mbr (1.0),0.001,0.0,0.0,0.0,0.0,0.006,0.033,0.308,0.025
Ongoing Difficulties At Work (0.0),0.0,0.302,0.006,0.638,0.423,0.356,0.36,0.001,0.285
Ongoing Difficulties At Work (1.0),0.0,0.339,0.012,0.633,0.409,0.357,0.336,0.0,0.221
