,1,2,3,4,5,6,7,8,9
Often Care Adult,0.936,0.0,0.004,0.956,0.08,0.183,0.22,0.528,0.003
Often Do Activities With Grandchildren,0.0,0.318,0.0,0.001,0.0,0.063,0.511,0.004,0.379
Often Volunteer Youth,0.509,0.185,0.325,0.312,0.194,0.0,0.0,0.226,0.82
Often Charity Work,0.0,0.025,0.679,0.284,0.0,0.741,0.652,0.488,0.0
Often Education,0.428,0.001,0.584,0.032,0.7,0.0,0.102,0.011,0.012
Often Attend Sports/Social/Club,0.0,0.095,0.242,0.008,0.0,0.945,0.922,0.82,0.001
Often Attend Non Religious Orgs,0.021,0.211,0.185,0.0,0.138,0.0,0.908,0.0,0.731
Often Pray Privately,0.001,0.029,0.192,0.587,0.047,0.002,0.0,0.121,0.281
Often Read,0.0,0.589,0.924,0.718,0.001,0.067,0.0,0.0,0.01
Often Watch Television,0.832,0.6,0.763,0.0,0.897,0.018,0.215,0.0,0.241
Often Do Word Games,0.0,0.0,0.966,0.237,0.0,0.067,0.659,0.0,0.0
Often Play Cards And Games,0.0,0.014,0.726,0.0,0.49,0.0,0.0,0.0,0.021
Often Do Writing,0.0,0.231,0.0,0.0,0.596,0.243,0.056,0.007,0.0
Often Use Computer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Often Maintenance/Gardening,0.0,0.075,0.077,0.768,0.178,0.009,0.081,0.386,0.002
Often Bake Or Cook,0.039,0.917,0.102,0.101,0.066,0.705,0.0,0.0,0.004
Often Sew Or Knit,0.01,0.0,0.113,0.001,0.104,0.079,0.0,0.0,0.042
Often Do Hobby,0.01,0.0,0.329,0.755,0.163,0.006,0.0,0.055,0.094
Often Play Sport/Exercise,0.0,0.256,0.0,0.013,0.071,0.939,0.799,0.0,0.0
Often Walk For 20 Mins,0.626,0.533,0.012,0.005,0.0,0.038,0.012,0.0,0.485
Difficulty Paying Bills,0.62,0.823,0.0,0.804,0.203,0.048,0.459,0.294,0.032
Self Ongoing Health Problems,0.161,0.0,0.0,0.601,0.281,0.401,0.893,0.009,0.0
Ongoing Phy/Emot Problems In Sp/Chld,0.493,0.193,0.138,0.685,0.155,0.0,0.0,0.651,0.435
Ongoing Drug/Alcohol Probs Fam Mbr,0.042,0.0,0.001,0.0,0.0,0.006,0.063,0.312,0.047
Ongoing Difficulties At Work,0.0,0.027,0.001,0.712,0.383,0.065,0.089,0.0,0.019
Ongoing Financial Strain,0.016,0.448,0.0,0.0,0.326,0.0,0.0,0.206,0.616
Ongoing Housing Problems,0.0,0.0,0.0,0.0,0.01,0.003,0.92,0.0,0.277
Ongoing Problems Close Relationship,0.028,0.0,0.001,0.164,0.631,0.013,0.759,0.287,0.001
Reg Help Ailing Friend/Fam,0.016,0.0,0.246,0.0,0.395,0.811,0.0,0.002,0.15
Drink,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0
Smoke,0.814,0.0,0.026,0.022,0.101,0.729,0.541,0.0,0.214
Vigourious Activities,0.0,0.0,0.117,0.16,0.222,0.123,0.732,0.003,0.0
Moderate Activities,0.0,0.002,0.001,0.0,0.993,0.142,0.013,0.0,0.0
Mild Activities,0.0,0.0,0.0,0.878,0.927,0.006,0.0,0.0,0.0
