,1,2,3,4,5,6,7,8,9
Often Care Adult (0.0),0.93,0.0,0.006,0.955,0.062,0.191,0.27,0.54,0.015
Often Care Adult (1.0),0.937,0.0,0.004,0.956,0.08,0.183,0.22,0.529,0.003
Often Do Activities With Grandchildren (0.0),0.0,0.317,0.0,0.003,0.0,0.076,0.521,0.008,0.409
Often Do Activities With Grandchildren (1.0),0.0,0.318,0.0,0.001,0.0,0.063,0.512,0.004,0.379
Often Volunteer Youth (0.0),0.399,0.13,0.257,0.273,0.173,0.0,0.006,0.226,0.847
Often Volunteer Youth (1.0),0.509,0.185,0.325,0.312,0.194,0.0,0.0,0.226,0.82
Often Charity Work (0.0),0.0,0.004,0.651,0.245,0.0,0.754,0.675,0.537,0.002
Often Charity Work (1.0),0.0,0.025,0.68,0.284,0.0,0.741,0.651,0.488,0.0
Often Education (0.0),0.284,0.0,0.545,0.012,0.685,0.0,0.093,0.033,0.079
Often Education (1.0),0.428,0.001,0.584,0.032,0.7,0.0,0.102,0.011,0.012
Often Attend Sports/Social/Club (0.0),0.0,0.045,0.207,0.002,0.001,0.949,0.925,0.847,0.013
Often Attend Sports/Social/Club (1.0),0.0,0.095,0.242,0.008,0.0,0.945,0.922,0.82,0.001
Often Attend Non Religious Orgs (0.0),0.018,0.121,0.135,0.0,0.163,0.0,0.91,0.0,0.756
Often Attend Non Religious Orgs (1.0),0.021,0.211,0.185,0.0,0.138,0.0,0.908,0.0,0.731
Often Pray Privately (0.0),0.0,0.021,0.188,0.576,0.043,0.005,0.0,0.137,0.312
Often Pray Privately (1.0),0.001,0.029,0.192,0.587,0.047,0.002,0.0,0.121,0.281
Often Read (0.0),0.0,0.535,0.922,0.725,0.001,0.112,0.0,0.0,0.057
Often Read (1.0),0.0,0.589,0.924,0.719,0.001,0.067,0.0,0.0,0.01
Often Watch Television (0.0),0.828,0.594,0.764,0.0,0.894,0.03,0.26,0.0,0.221
Often Watch Television (1.0),0.832,0.599,0.763,0.0,0.897,0.018,0.215,0.0,0.241
Often Do Word Games (0.0),0.0,0.0,0.965,0.219,0.0,0.098,0.667,0.0,0.0
Often Do Word Games (1.0),0.0,0.0,0.966,0.237,0.0,0.067,0.659,0.0,0.0
Often Play Cards And Games (0.0),0.0,0.01,0.723,0.0,0.485,0.0,0.0,0.0,0.049
Often Play Cards And Games (1.0),0.0,0.014,0.726,0.0,0.49,0.0,0.0,0.0,0.021
Often Do Writing (0.0),0.0,0.15,0.0,0.0,0.6,0.276,0.063,0.025,0.0
Often Do Writing (1.0),0.0,0.231,0.0,0.0,0.596,0.243,0.056,0.007,0.0
Often Use Computer (0.0),0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0
Often Use Computer (1.0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Often Maintenance/Gardening (0.0),0.0,0.043,0.084,0.766,0.174,0.019,0.119,0.442,0.011
Often Maintenance/Gardening (1.0),0.0,0.075,0.076,0.768,0.178,0.009,0.081,0.383,0.002
Often Bake Or Cook (0.0),0.01,0.913,0.082,0.086,0.058,0.724,0.001,0.0,0.011
Often Bake Or Cook (1.0),0.04,0.921,0.101,0.101,0.065,0.705,0.0,0.0,0.004
Often Sew Or Knit (0.0),0.0,0.0,0.125,0.0,0.102,0.126,0.0,0.0,0.101
Often Sew Or Knit (1.0),0.01,0.0,0.113,0.001,0.104,0.079,0.0,0.0,0.042
Often Do Hobby (0.0),0.001,0.0,0.323,0.751,0.15,0.014,0.0,0.102,0.149
Often Do Hobby (1.0),0.011,0.0,0.328,0.754,0.162,0.006,0.0,0.056,0.092
Often Play Sport/Exercise (0.0),0.0,0.178,0.0,0.008,0.081,0.944,0.816,0.003,0.001
Often Play Sport/Exercise (1.0),0.0,0.256,0.0,0.012,0.072,0.939,0.801,0.0,0.0
Often Walk For 20 Mins (0.0),0.539,0.493,0.015,0.007,0.0,0.057,0.017,0.001,0.614
Often Walk For 20 Mins (1.0),0.621,0.539,0.012,0.005,0.0,0.038,0.012,0.0,0.487
Self Ongoing Health Problems (0.0),0.232,0.0,0.002,0.6,0.291,0.366,0.889,0.004,0.0
Self Ongoing Health Problems (1.0),0.157,0.0,0.0,0.602,0.28,0.4,0.893,0.009,0.0
Ongoing Phy/Emot Problems In Sp/Chld (0.0),0.512,0.182,0.139,0.687,0.156,0.0,0.001,0.64,0.421
Ongoing Phy/Emot Problems In Sp/Chld (1.0),0.492,0.192,0.139,0.685,0.155,0.0,0.0,0.651,0.435
Ongoing Drug/Alcohol Probs Fam Mbr (0.0),0.053,0.0,0.003,0.0,0.0,0.003,0.058,0.3,0.022
Ongoing Drug/Alcohol Probs Fam Mbr (1.0),0.042,0.0,0.001,0.0,0.0,0.006,0.063,0.312,0.047
Ongoing Difficulties At Work (0.0),0.0,0.02,0.0,0.714,0.392,0.066,0.104,0.0,0.033
Ongoing Difficulties At Work (1.0),0.0,0.027,0.001,0.712,0.383,0.065,0.089,0.0,0.019
Ongoing Financial Strain (0.0),0.02,0.47,0.0,0.0,0.326,0.0,0.0,0.17,0.582
Ongoing Financial Strain (1.0),0.015,0.449,0.0,0.0,0.324,0.0,0.0,0.207,0.62
Ongoing Housing Problems (0.0),0.0,0.001,0.0,0.0,0.006,0.0,0.918,0.0,0.192
Ongoing Housing Problems (1.0),0.0,0.0,0.0,0.0,0.01,0.003,0.92,0.0,0.277
Ongoing Problems Close Relationship (0.0),0.019,0.0,0.001,0.17,0.635,0.004,0.764,0.286,0.003
Ongoing Problems Close Relationship (1.0),0.027,0.0,0.001,0.164,0.633,0.012,0.76,0.288,0.001
Reg Help Ailing Friend/Fam (0.0),0.008,0.0,0.259,0.0,0.385,0.813,0.0,0.005,0.182
Reg Help Ailing Friend/Fam (1.0),0.016,0.0,0.246,0.0,0.395,0.811,0.0,0.002,0.15
Difficulty Paying Bills (0.0),0.643,0.834,0.0,0.824,0.196,0.032,0.438,0.253,0.013
Difficulty Paying Bills (1.0),0.626,0.824,0.0,0.821,0.205,0.053,0.442,0.291,0.031
Often Vigorous Activity (0.0),0.0,0.0,0.107,0.135,0.245,0.156,0.75,0.015,0.001
Often Vigorous Activity (1.0),0.0,0.0,0.118,0.161,0.222,0.122,0.73,0.003,0.0
Often Moderate Activity (0.0),0.0,0.0,0.0,0.001,0.992,0.188,0.027,0.0,0.0
Often Moderate Activity (1.0),0.0,0.002,0.001,0.0,0.992,0.141,0.013,0.0,0.0
Often Mild Activity (0.0),0.0,0.0,0.0,0.878,0.928,0.016,0.0,0.0,0.0
Often Mild Activity (1.0),0.0,0.0,0.0,0.878,0.927,0.006,0.0,0.0,0.0
Drink Alcohol (0.0),0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0
Drink Alcohol (1.0),0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0
Smoking (0.0),0.83,0.0,0.029,0.01,0.111,0.715,0.528,0.0,0.122
Smoking (1.0),0.808,0.0,0.026,0.022,0.101,0.727,0.539,0.0,0.216
