,1,2,3,4,5,6,7,8,9
Often Care Adult (0.0),0.088,5.529,-2.729,-0.056,1.867,-1.307,-1.102,-0.613,-2.429
Often Care Adult (1.0),-0.079,-4.306,2.881,0.055,-1.751,1.332,1.226,0.63,3.001
Often Do Activities With Grandchildren (0.0),5.983,-1.0,-3.762,-3.022,5.662,-1.772,0.642,-2.666,-0.826
Often Do Activities With Grandchildren (1.0),-4.975,0.999,4.41,3.182,-5.503,1.861,-0.656,2.898,0.879
Often Volunteer Youth (0.0),0.843,1.515,1.134,1.096,1.363,-4.328,-2.743,1.21,-0.193
Often Volunteer Youth (1.0),-0.66,-1.325,-0.985,-1.012,-1.3,4.476,3.52,-1.212,0.228
Often Charity Work (0.0),8.584,2.878,0.452,1.162,-4.727,0.313,0.419,-0.617,-3.164
Often Charity Work (1.0),-5.666,-2.235,-0.413,-1.072,5.455,-0.33,-0.452,0.694,4.697
Often Education (0.0),1.071,4.828,0.605,2.508,0.406,-5.29,1.682,-2.128,-1.757
Often Education (1.0),-0.793,-3.389,-0.548,-2.147,-0.385,7.137,-1.635,2.539,2.521
Often Attend Sports/Social/Club (0.0),14.198,2.006,1.261,3.031,-3.339,0.064,-0.094,0.193,-2.492
Often Attend Sports/Social/Club (1.0),-9.811,-1.67,-1.17,-2.67,4.02,-0.069,0.098,-0.228,3.452
Often Attend Non Religious Orgs (0.0),-2.369,1.551,1.496,6.134,-1.394,7.926,0.113,-5.56,0.311
Often Attend Non Religious Orgs (1.0),2.309,-1.251,-1.327,-4.371,1.483,-6.35,-0.115,6.692,-0.344
Often Pray Privately (0.0),3.616,2.305,1.317,0.559,2.026,-2.799,-3.91,-1.487,-1.011
Often Pray Privately (1.0),-3.294,-2.18,-1.305,-0.543,-1.984,3.061,4.314,1.552,1.079
Often Read (0.0),11.026,0.621,-0.098,-0.352,3.256,-1.59,-4.723,-5.019,-1.905
Often Read (1.0),-7.44,-0.54,0.096,0.36,-3.179,1.833,6.454,6.605,2.593
Often Watch Television (0.0),0.217,0.533,0.3,6.589,0.133,-2.176,-1.127,-3.546,1.223
Often Watch Television (1.0),-0.212,-0.526,-0.301,-5.599,-0.129,2.356,1.24,4.312,-1.173
Often Do Word Games (0.0),10.596,8.419,0.044,1.23,-4.655,-1.657,0.43,-8.933,-6.034
Often Do Word Games (1.0),-8.319,-6.86,-0.043,-1.183,5.075,1.835,-0.441,12.819,8.897
Often Play Cards And Games (0.0),4.14,-2.583,-0.355,4.931,0.698,-3.521,4.127,-6.339,-1.968
